user_id,user_name,city,kyc_status,created_date
96,User_096,Nashik,NONE,2023-09-22
97,User_097,Thane,NONE,2022-02-02
98,User_098,Chennai,FULL,2022-01-18
99,User_099,Delhi,MINIMAL,2023-11-26
100,User_100,Thane,MINIMAL,2022-11-15
101,User_101,Hyderabad,MINIMAL,2024-09-05
102,User_102,Bengaluru,FULL,2024-05-19
103,User_103,Thane,FULL,2024-09-19
104,User_104,Delhi,MINIMAL,2024-09-07
105,User_105,Dhule,FULL,2023-03-07
106,User_106,Kolhapur,MINIMAL,2024-02-12
107,User_107,Pune,NONE,2022-08-08
108,User_108,Kolhapur,NONE,2024-06-06
109,User_109,Hyderabad,FULL,2023-08-05
110,User_110,Bengaluru,FULL,2023-03-15
111,User_111,Dhule,MINIMAL,2022-04-01
112,User_112,Thane,FULL,2022-08-30
113,User_113,Nagpur,NONE,2022-11-16
114,User_114,Chennai,NONE,2024-10-19
115,User_115,Thane,FULL,2024-01-16
116,User_116,Thane,MINIMAL,2024-05-28
117,User_117,Thane,MINIMAL,2022-12-30
118,User_118,Nagpur,MINIMAL,2024-02-20
119,User_119,Hyderabad,FULL,2023-11-01
120,User_120,Aurangabad,FULL,2023-02-04
121,User_121,Dhule,MINIMAL,2024-10-07
122,User_122,Hyderabad,MINIMAL,2022-08-03
123,User_123,Aurangabad,FULL,2023-09-28
124,User_124,Pune,FULL,2023-04-03
125,User_125,Delhi,FULL,2024-03-09
126,User_126,Kolhapur,FULL,2023-05-17
127,User_127,Dhule,MINIMAL,2023-08-15
128,User_128,Dhule,NONE,2022-11-11
129,User_129,Kolhapur,FULL,2022-05-05
130,User_130,Nashik,NONE,2024-11-06
131,User_131,Delhi,FULL,2022-10-04
132,User_132,Kolhapur,NONE,2023-03-25
133,User_133,Aurangabad,FULL,2024-12-21
134,User_134,Delhi,FULL,2023-01-15
135,User_135,Pune,MINIMAL,2023-07-30
136,User_136,Nashik,FULL,2022-04-17
137,User_137,Dhule,MINIMAL,2024-01-09
138,User_138,Chennai,FULL,2024-02-09
139,User_139,Nagpur,FULL,2022-06-06
140,User_140,Bengaluru,MINIMAL,2024-04-29
141,User_141,Delhi,MINIMAL,2024-05-17
142,User_142,Pune,FULL,2024-05-09
143,User_143,Hyderabad,FULL,2023-12-23
144,User_144,Nagpur,NONE,2022-12-26
145,User_145,Pune,MINIMAL,2022-11-23
146,User_146,Kolhapur,NONE,2022-09-27
147,User_147,Thane,MINIMAL,2023-09-29
148,User_148,Nagpur,FULL,2022-03-18
149,User_149,Mumbai,FULL,2023-10-12
150,User_150,Bengaluru,NONE,2022-12-19
151,User_151,Thane,FULL,2024-02-03
152,User_152,Mumbai,MINIMAL,2023-12-26
153,User_153,Delhi,FULL,2023-08-20
154,User_154,Pune,FULL,2024-10-17
155,User_155,Chennai,FULL,2022-04-09
156,User_156,Dhule,MINIMAL,2022-05-15
157,User_157,Aurangabad,NONE,2022-07-21
158,User_158,Nashik,FULL,2022-04-25
159,User_159,Mumbai,NONE,2022-03-12
160,User_160,Delhi,FULL,2023-10-09
161,User_161,Bengaluru,FULL,2024-10-14
162,User_162,Kolhapur,NONE,2023-09-09
163,User_163,Kolhapur,FULL,2024-12-31
164,User_164,Dhule,FULL,2024-06-06
165,User_165,Kolhapur,NONE,2022-06-19
166,User_166,Dhule,NONE,2023-01-20
167,User_167,Delhi,FULL,2023-08-05
168,User_168,Mumbai,FULL,2023-05-14
169,User_169,Mumbai,MINIMAL,2023-01-20
170,User_170,Nagpur,MINIMAL,2023-03-30
171,User_171,Thane,FULL,2023-09-13
172,User_172,Dhule,NONE,2023-07-27
173,User_173,Kolhapur,NONE,2023-02-17
174,User_174,Chennai,FULL,2024-09-30
175,User_175,Mumbai,MINIMAL,2024-12-16
176,User_176,Nagpur,MINIMAL,2023-09-10
177,User_177,Bengaluru,FULL,2022-04-17
178,User_178,Nagpur,MINIMAL,2024-11-18
179,User_179,Kolhapur,MINIMAL,2024-10-18
180,User_180,Chennai,NONE,2024-10-12
181,User_181,Aurangabad,FULL,2022-04-11
182,User_182,Chennai,FULL,2024-01-11
183,User_183,Mumbai,NONE,2022-05-30
184,User_184,Mumbai,FULL,2024-08-20
185,User_185,Thane,FULL,2022-07-28
186,User_186,Hyderabad,FULL,2025-01-03
187,User_187,Hyderabad,FULL,2022-07-28
188,User_188,Delhi,FULL,2024-10-30
189,User_189,Pune,FULL,2022-02-02
190,User_190,Nagpur,MINIMAL,2024-07-06
191,User_191,Nashik,FULL,2022-09-12
192,User_192,Bengaluru,MINIMAL,2022-08-25
193,User_193,Chennai,FULL,2022-04-25
194,User_194,Mumbai,FULL,2022-12-02
195,User_195,Delhi,MINIMAL,2023-03-26
196,User_196,Pune,FULL,2022-12-24
197,User_197,Bengaluru,FULL,2023-11-29
198,User_198,Thane,FULL,2024-12-17
199,User_199,Aurangabad,FULL,2022-04-27
200,User_200,Pune,FULL,2024-03-31
21,User_021,Nagpur,FULL,2023-07-19
