event_id,device_id,sensor_type,reading,event_time
54,116,temp,31.5,2025-11-10 17:53:02
55,102,temp,22.27,2025-11-05 23:46:56
56,107,pressure,51.16,2025-11-04 22:59:39
57,107,humidity,9.39,2025-11-05 11:38:55
58,106,humidity,43.6,2025-11-05 13:43:01
59,117,temp,75.06,2025-11-09 21:57:33
60,117,temp,49.07,2025-11-06 03:26:34
61,137,humidity,27.67,2025-11-08 19:32:38
62,106,humidity,45.07,2025-11-09 13:21:59
63,109,pressure,43.43,2025-11-10 11:42:42
64,112,humidity,71.37,2025-11-10 11:25:31
65,101,pressure,53.99,2025-11-04 10:51:00
66,102,humidity,35.95,2025-11-09 00:57:09
67,116,pressure,62.05,2025-11-05 04:48:36
68,118,humidity,55.64,2025-11-05 20:30:57
69,114,pressure,45.3,2025-11-05 04:02:02
70,102,temp,70.42,2025-11-01 00:45:55
71,123,humidity,60.88,2025-11-05 11:09:53
72,110,temp,38.11,2025-11-09 05:51:14
73,110,pressure,63.99,2025-11-08 11:46:11
74,117,pressure,53.0,2025-11-01 05:52:27
75,138,humidity,61.13,2025-11-09 17:15:48
76,107,humidity,62.07,2025-11-02 20:26:06
77,128,temp,68.45,2025-11-04 05:08:58
78,113,pressure,43.5,2025-11-09 17:43:32
79,111,temp,68.49,2025-11-04 06:52:08
80,134,humidity,21.81,2025-11-07 04:16:18
81,125,temp,40.86,2025-11-01 14:07:47
82,106,humidity,35.12,2025-11-10 14:24:28
83,117,humidity,41.37,2025-11-09 10:10:51
84,126,pressure,35.93,2025-11-03 03:47:22
85,113,pressure,43.25,2025-11-10 07:32:12
86,122,temp,71.49,2025-11-07 18:39:38
87,118,humidity,35.17,2025-11-05 06:47:00
88,120,temp,46.99,2025-11-10 22:03:06
89,133,temp,57.81,2025-11-07 20:26:31
90,115,pressure,44.94,2025-11-01 19:15:24
91,133,pressure,42.11,2025-11-06 14:19:55
92,101,temp,62.64,2025-11-06 19:17:35
93,102,temp,45.48,2025-11-07 12:20:03
94,114,temp,52.83,2025-11-01 18:20:33
95,122,pressure,47.87,2025-11-05 13:56:46
96,116,pressure,64.87,2025-11-03 03:43:07
97,107,pressure,40.85,2025-11-07 04:11:11
98,125,humidity,75.34,2025-11-09 23:50:41
99,123,humidity,41.71,2025-11-01 14:46:01
100,126,temp,32.94,2025-11-10 21:36:21
101,100,humidity,41.28,2025-11-07 10:29:47
102,100,pressure,58.86,2025-11-02 06:34:07
103,126,temp,50.26,2025-11-09 18:12:09
104,138,pressure,62.99,2025-11-05 17:32:26
105,122,humidity,32.42,2025-11-08 22:10:01
106,106,temp,37.09,2025-11-03 14:07:47
107,131,pressure,30.41,2025-11-08 12:04:50
108,101,temp,34.33,2025-11-04 11:49:45
109,123,pressure,62.85,2025-11-07 00:02:54
110,133,humidity,63.3,2025-11-07 14:10:36
111,132,pressure,40.65,2025-11-09 05:55:29
112,116,pressure,34.4,2025-11-01 05:20:02
113,101,humidity,46.2,2025-11-09 14:51:25
114,131,pressure,56.84,2025-11-01 12:15:02
115,128,pressure,50.39,2025-11-07 09:54:46
116,115,humidity,85.57,2025-11-02 08:57:03
117,113,temp,29.71,2025-11-06 14:30:11
118,131,temp,58.97,2025-11-01 16:01:29
119,107,humidity,33.57,2025-11-07 16:20:19
120,116,humidity,67.99,2025-11-07 00:16:16
121,122,pressure,40.96,2025-11-09 21:45:00
122,124,humidity,48.07,2025-11-02 07:22:55
123,104,pressure,60.36,2025-11-04 11:19:37
124,103,pressure,46.66,2025-11-10 06:22:31
125,100,humidity,50.35,2025-11-07 03:34:34
126,126,pressure,69.89,2025-11-06 21:39:00
127,128,pressure,27.03,2025-11-01 06:18:06
128,118,temp,43.43,2025-11-08 00:55:08
129,135,pressure,32.92,2025-11-03 12:08:39
130,131,temp,72.09,2025-11-01 19:20:13
131,120,temp,65.88,2025-11-09 16:07:51
132,104,humidity,55.43,2025-11-01 05:09:18
133,121,pressure,65.12,2025-11-01 20:28:57
134,135,temp,46.08,2025-11-10 01:59:19
135,104,humidity,52.63,2025-11-04 17:23:54
136,107,temp,57.99,2025-11-06 16:19:46
137,103,humidity,32.37,2025-11-05 21:55:25
138,122,pressure,50.93,2025-11-09 21:02:47
139,120,temp,38.92,2025-11-09 20:33:01
140,132,temp,25.72,2025-11-06 16:05:03
141,103,pressure,23.31,2025-11-01 15:12:01
142,126,humidity,53.16,2025-11-01 11:32:10
143,103,temp,28.74,2025-11-04 00:20:44
144,114,pressure,63.15,2025-11-02 07:36:15
145,137,pressure,50.62,2025-11-05 14:38:36
146,118,pressure,62.82,2025-11-08 20:37:50
147,131,pressure,22.65,2025-11-01 09:26:34
148,138,temp,78.5,2025-11-04 00:49:49
149,131,temp,39.22,2025-11-04 15:40:05
150,131,temp,43.54,2025-11-05 15:34:13
151,111,humidity,34.5,2025-11-01 02:19:03
152,132,pressure,43.13,2025-11-03 10:05:53
153,130,temp,62.86,2025-11-03 19:00:18
154,118,temp,34.85,2025-11-03 11:26:31
155,122,humidity,42.1,2025-11-09 21:23:40
156,131,temp,44.01,2025-11-06 09:30:37
157,117,humidity,24.46,2025-11-05 19:51:01
158,106,humidity,38.82,2025-11-02 15:32:56
159,108,temp,58.74,2025-11-09 19:13:25
160,104,humidity,70.22,2025-11-07 16:09:11
161,134,humidity,31.92,2025-11-06 21:37:42
162,127,temp,57.97,2025-11-03 09:27:49
163,118,pressure,61.83,2025-11-09 10:52:46
164,139,humidity,22.3,2025-11-02 07:09:19
165,132,temp,64.43,2025-11-05 23:51:29
166,135,humidity,35.33,2025-11-10 16:02:42
167,107,temp,29.43,2025-11-01 00:51:15
168,102,humidity,57.67,2025-11-04 19:58:34
169,138,humidity,62.71,2025-11-04 01:41:22
170,106,humidity,43.15,2025-11-04 10:17:02
171,106,pressure,68.62,2025-11-08 16:50:25
172,137,pressure,60.96,2025-11-09 01:16:43
173,111,humidity,57.56,2025-11-05 07:11:09
174,137,temp,46.74,2025-11-06 08:25:05
175,122,pressure,46.45,2025-11-02 16:05:34
176,129,temp,72.23,2025-11-08 11:12:14
177,104,humidity,25.79,2025-11-08 02:23:07
178,126,humidity,51.63,2025-11-10 04:04:44
179,129,temp,55.86,2025-11-03 19:29:05
180,139,humidity,25.9,2025-11-08 11:28:20
181,112,humidity,40.67,2025-11-01 05:52:21
182,118,humidity,42.24,2025-11-04 23:03:34
183,107,humidity,58.68,2025-11-05 07:18:22
184,135,humidity,43.46,2025-11-04 01:59:31
185,116,humidity,39.89,2025-11-07 19:16:34
186,139,humidity,30.18,2025-11-10 18:07:26
187,136,temp,11.31,2025-11-05 04:49:33
188,107,pressure,50.92,2025-11-08 11:59:15
189,135,temp,50.98,2025-11-03 08:32:17
190,132,temp,70.39,2025-11-07 14:52:18
191,126,pressure,77.96,2025-11-04 22:18:31
192,121,pressure,63.58,2025-11-06 18:45:56
193,124,pressure,12.42,2025-11-05 00:42:42
194,134,humidity,86.55,2025-11-05 07:24:32
195,136,pressure,63.02,2025-11-10 02:07:12
196,130,humidity,62.13,2025-11-08 16:15:28
197,136,humidity,24.08,2025-11-05 13:03:29
198,117,humidity,36.29,2025-11-02 04:33:35
199,114,humidity,46.47,2025-11-06 03:12:08
200,138,humidity,55.88,2025-11-06 03:13:05
201,135,pressure,62.02,2025-11-07 23:42:04
202,120,humidity,51.38,2025-11-07 15:35:11
203,126,temp,44.97,2025-11-02 23:58:49
204,139,temp,39.36,2025-11-09 23:22:01
205,105,temp,55.52,2025-11-07 02:04:23
206,137,pressure,64.2,2025-11-06 00:43:43
207,132,temp,48.28,2025-11-02 22:23:42
208,131,pressure,27.5,2025-11-02 02:47:19
209,125,temp,48.64,2025-11-10 06:20:32
210,109,temp,78.86,2025-11-04 06:04:57
211,109,pressure,89.66,2025-11-09 10:52:56
212,129,humidity,55.99,2025-11-04 04:03:55
213,132,temp,63.82,2025-11-02 02:58:41
214,122,pressure,47.29,2025-11-04 13:59:07
215,110,pressure,86.82,2025-11-01 15:01:45
216,109,pressure,50.16,2025-11-09 05:57:23
217,118,temp,47.05,2025-11-04 02:24:16
218,121,pressure,64.0,2025-11-01 03:24:54
219,122,humidity,26.07,2025-11-02 21:51:52
220,103,pressure,76.53,2025-11-08 16:53:21
221,127,temp,29.33,2025-11-06 04:22:40
222,134,humidity,41.33,2025-11-03 17:08:40
223,109,pressure,55.41,2025-11-07 22:36:38
224,116,temp,55.93,2025-11-05 13:51:39
225,135,temp,62.44,2025-10-25 03:22:23
226,129,temp,65.69,2025-11-10 16:25:10
227,100,humidity,74.95,2025-11-10 07:18:29
228,135,humidity,50.28,2025-11-01 17:13:25
229,100,pressure,69.23,2025-11-05 13:45:09
230,100,temp,34.6,2025-11-02 10:43:45
231,111,pressure,90.23,2025-11-08 15:05:09
232,120,pressure,27.53,2025-11-06 20:56:08
233,101,temp,62.19,2025-11-05 09:17:02
234,107,temp,64.49,2025-11-09 11:57:54
235,106,temp,64.14,2025-11-07 10:25:56
236,115,humidity,37.63,2025-11-06 22:22:14
237,104,pressure,30.85,2025-11-09 06:47:42
238,137,temp,43.77,2025-11-05 07:29:40
239,136,pressure,63.12,2025-11-08 15:57:37
240,106,humidity,47.2,2025-11-06 14:27:40
241,111,pressure,59.27,2025-11-08 10:18:53
242,115,pressure,62.31,2025-11-10 01:07:31
243,127,pressure,23.0,2025-11-03 20:08:57
244,120,humidity,45.84,2025-11-06 23:36:42
245,107,pressure,39.19,2025-11-10 11:54:27
246,108,temp,,2025-11-05 20:44:56
247,110,temp,59.53,2025-11-04 16:00:13
248,125,humidity,59.81,2025-11-09 07:27:20
249,108,humidity,30.85,2025-11-03 09:32:24
250,132,humidity,37.88,2025-11-04 06:53:02
251,102,temp,62.11,2025-11-08 06:24:13
252,123,humidity,43.5,2025-11-02 21:52:42
253,109,humidity,70.31,2025-11-05 09:12:16
254,102,temp,74.64,2025-11-05 12:55:42
255,124,humidity,30.45,2025-11-04 07:37:44
256,117,pressure,64.01,2025-11-10 23:01:35
257,115,humidity,53.19,2025-11-03 11:44:08
258,126,temp,42.52,2025-11-02 06:33:57
259,129,humidity,66.36,2025-11-03 14:21:59
260,124,humidity,33.39,2025-11-05 00:14:01
261,106,pressure,69.67,2025-11-08 13:32:15
262,106,temp,52.09,2025-11-05 10:06:10
263,130,temp,60.37,2025-11-10 06:37:47
264,136,pressure,51.5,2025-11-08 23:55:42
265,122,pressure,64.86,2025-11-08 05:06:37
266,112,humidity,51.58,2025-11-06 02:13:39
267,103,pressure,83.15,2025-11-10 13:05:43
268,114,humidity,53.45,2025-11-02 05:09:14
269,110,temp,37.31,2025-11-05 06:18:29
270,122,humidity,55.45,2025-11-01 20:24:19
271,128,pressure,19.98,2025-11-02 17:24:44
272,126,pressure,38.13,2025-11-07 01:23:54
273,134,humidity,41.72,2025-11-05 17:52:26
274,133,humidity,63.14,2025-11-09 00:08:21
275,119,pressure,45.47,2025-11-01 03:53:31
276,131,pressure,23.9,2025-11-07 12:13:40
277,126,pressure,62.24,2025-11-10 21:41:27
278,110,humidity,48.56,2025-11-05 22:37:40
279,123,humidity,59.12,2025-11-04 23:50:20
280,127,humidity,49.51,2025-11-09 00:38:20
281,111,pressure,56.94,2025-11-10 16:54:02
282,108,temp,56.27,2025-11-04 00:40:05
283,127,pressure,47.12,2025-11-07 02:11:54
284,125,temp,63.23,2025-11-03 06:15:09
285,119,pressure,43.54,2025-11-08 01:29:55
286,103,humidity,62.87,2025-11-04 21:05:24
287,136,humidity,63.25,2025-11-07 09:51:53
288,136,temp,37.42,2025-11-10 21:55:30
289,138,humidity,43.41,2025-11-03 07:58:27
290,118,pressure,49.34,2025-11-03 14:41:53
291,139,humidity,48.38,2025-11-01 01:55:47
292,116,humidity,29.65,2025-11-09 09:46:00
293,119,humidity,79.61,2025-11-04 09:40:42
294,125,temp,46.09,2025-11-02 18:09:20
295,111,humidity,51.35,2025-11-07 00:13:08
296,136,humidity,49.44,2025-11-06 10:50:44
297,125,humidity,58.1,2025-11-09 20:38:48
298,138,humidity,36.51,2025-11-06 22:30:22
299,101,temp,52.81,2025-11-08 13:00:22
300,104,temp,41.71,2025-11-07 16:12:33
301,119,pressure,44.09,2025-11-02 05:42:29
302,128,pressure,29.95,2025-11-03 01:48:19
303,119,temp,64.78,2025-11-09 20:10:33
304,130,temp,50.05,2025-11-09 22:29:24
305,133,pressure,43.9,2025-11-09 21:04:30
306,110,humidity,51.71,2025-11-07 03:55:52
307,105,humidity,70.37,2025-11-08 08:11:24
308,131,temp,31.39,2025-11-04 20:05:21
309,135,temp,43.31,2025-11-02 11:16:41
310,112,temp,68.2,2025-11-05 13:24:29
311,100,temp,60.98,2025-11-08 09:10:57
312,121,temp,16.52,2025-11-06 22:03:17
313,130,temp,64.3,2025-11-07 00:12:56
314,109,pressure,49.45,2025-11-09 09:10:10
315,121,pressure,35.53,2025-11-06 23:11:32
316,103,humidity,66.77,2025-11-03 01:26:46
317,122,pressure,37.52,2025-11-06 18:39:25
318,128,temp,49.41,2025-11-05 01:39:56
319,102,humidity,44.41,2025-11-08 15:28:13
320,101,humidity,39.72,2025-11-01 18:50:29
321,102,humidity,53.34,2025-11-01 19:34:04
322,106,humidity,58.71,2025-11-02 17:10:39
323,131,temp,30.46,2025-11-09 06:20:22
324,119,pressure,76.42,2025-11-01 20:02:53
325,114,humidity,54.65,2025-11-02 00:46:08
326,116,pressure,49.95,2025-11-03 22:07:05
327,106,humidity,56.96,2025-11-07 13:08:42
328,103,temp,41.89,2025-11-02 20:36:00
329,120,humidity,53.25,2025-11-01 19:21:38
330,100,humidity,74.84,2025-11-03 06:36:58
331,112,temp,41.52,2025-11-06 19:03:53
332,117,humidity,59.47,2025-11-01 15:20:19
333,118,pressure,35.2,2025-11-08 22:53:11
334,124,humidity,19.35,2025-11-10 05:51:25
335,109,humidity,53.13,2025-11-08 06:40:44
336,127,humidity,41.17,2025-11-03 12:44:46
337,104,pressure,18.21,2025-11-02 05:51:52
338,111,humidity,69.06,2025-11-06 07:10:59
339,134,pressure,59.5,2025-11-07 14:45:30
340,105,humidity,37.92,2025-11-09 10:03:39
341,106,temp,72.57,2025-11-08 13:37:55
342,114,temp,35.09,2025-11-01 23:19:49
343,125,temp,46.13,2025-11-03 16:43:15
344,134,humidity,33.34,2025-11-10 23:11:48
345,120,pressure,37.05,2025-11-01 05:50:24
346,100,humidity,55.6,2025-11-06 04:26:33
347,106,pressure,71.43,2025-11-07 05:27:09
348,100,pressure,52.85,2025-11-05 17:50:58
349,133,temp,49.54,2025-11-01 10:00:46
350,115,pressure,58.43,2025-11-07 12:58:40
351,106,temp,56.97,2025-11-10 15:27:50
352,114,pressure,54.31,2025-11-03 23:01:16
353,121,temp,27.35,2025-11-08 04:11:53
354,125,temp,38.99,2025-11-09 14:46:49
355,127,pressure,55.05,2025-11-03 21:13:53
356,122,humidity,62.78,2025-11-08 22:12:21
357,131,temp,44.34,2025-11-07 14:53:08
358,125,pressure,62.32,2025-11-04 17:16:24
359,121,temp,65.19,2025-11-05 11:40:35
360,122,humidity,27.25,2025-11-08 18:14:34
361,119,pressure,43.46,2025-11-10 22:53:56
362,114,pressure,21.39,2025-11-10 03:33:57
363,136,humidity,43.85,2025-11-02 03:41:08
364,131,temp,40.95,2025-11-08 01:10:33
365,106,temp,44.39,2025-11-10 09:31:40
366,137,pressure,44.34,2025-11-02 05:21:57
367,135,pressure,17.5,2025-11-02 21:01:21
368,122,temp,62.08,2025-11-10 13:45:04
369,121,temp,56.15,2025-11-09 17:29:48
370,123,humidity,49.36,2025-11-09 07:30:01
371,114,humidity,51.11,2025-11-01 01:26:10
372,119,temp,75.11,2025-11-09 06:01:11
373,109,humidity,21.76,2025-11-04 02:47:43
374,136,humidity,57.24,2025-11-09 17:36:53
375,112,pressure,43.51,2025-11-02 18:17:34
376,117,temp,55.71,2025-11-08 09:27:23
377,120,temp,51.03,2025-11-02 03:22:56
378,111,humidity,10.53,2025-11-07 01:53:40
379,133,pressure,43.67,2025-11-06 21:04:20
380,105,humidity,34.84,2025-11-01 22:45:20
381,104,temp,59.03,2025-11-06 15:11:27
382,135,temp,61.52,2025-11-04 19:39:49
383,127,pressure,54.81,2025-11-09 06:57:10
384,118,temp,57.09,2025-11-04 03:44:02
385,128,temp,45.85,2025-11-01 01:49:07
386,118,pressure,74.36,2025-11-04 12:30:02
387,117,temp,67.72,2025-11-09 21:30:48
388,115,temp,64.62,2025-11-09 16:50:54
389,132,pressure,86.37,2025-11-09 02:30:36
390,113,pressure,51.02,2025-11-03 17:52:11
391,132,temp,35.79,2025-11-08 01:41:25
392,111,temp,55.17,2025-11-06 03:48:06
393,121,temp,67.66,2025-11-05 11:14:23
394,117,temp,58.44,2025-10-25 16:13:40
395,109,temp,34.68,2025-11-02 07:54:56
396,137,humidity,64.59,2025-11-02 06:26:04
397,110,pressure,30.39,2025-11-04 10:36:28
398,123,humidity,26.29,2025-11-05 23:53:55
399,139,humidity,,2025-11-09 17:45:14
400,122,pressure,51.76,2025-11-10 21:57:35
401,124,humidity,39.86,2025-11-02 14:35:49
402,108,temp,26.0,2025-11-01 17:35:37
403,138,temp,60.84,2025-11-03 04:13:17
404,131,pressure,9.63,2025-11-08 06:47:08
405,123,pressure,52.86,2025-11-08 16:26:34
406,122,humidity,38.35,2025-11-05 22:04:52
407,118,pressure,65.68,2025-11-05 02:39:42
408,105,pressure,34.69,2025-11-05 16:41:20
409,129,temp,50.65,2025-11-05 10:38:39
410,128,pressure,48.81,2025-11-07 14:55:17
411,120,humidity,55.16,2025-11-01 19:40:30
412,131,humidity,52.24,2025-11-09 23:10:22
413,117,pressure,59.96,2025-11-08 16:21:55
414,138,temp,53.59,2025-11-09 13:50:50
415,125,humidity,54.74,2025-11-03 06:48:01
416,113,humidity,74.85,2025-11-04 23:57:27
417,136,temp,53.39,2025-11-08 14:53:16
418,139,pressure,52.74,2025-11-01 17:34:26
419,114,temp,74.11,2025-11-01 06:33:39
420,109,pressure,57.26,2025-11-09 04:49:03
421,105,temp,36.45,2025-11-07 09:42:14
422,116,pressure,41.5,2025-11-08 03:54:00
423,102,temp,49.91,2025-11-05 22:16:15
424,130,temp,64.43,2025-11-09 18:07:46
425,106,humidity,39.35,2025-11-07 20:39:59
426,119,temp,33.6,2025-11-02 09:35:46
427,128,humidity,78.2,2025-11-03 23:51:11
428,136,pressure,53.17,2025-11-02 08:18:48
429,135,temp,78.3,2025-11-10 16:11:34
430,103,temp,57.22,2025-11-10 08:03:14
431,132,humidity,54.65,2025-11-01 23:06:10
432,128,humidity,52.72,2025-11-01 22:02:07
433,106,pressure,54.08,2025-11-04 10:45:08
434,116,pressure,61.4,2025-11-03 06:19:43
435,127,temp,49.74,2025-11-02 12:21:40
436,135,temp,55.7,2025-11-07 22:21:41
437,133,pressure,39.27,2025-11-07 00:14:03
438,100,pressure,,2025-11-02 16:50:31
439,106,temp,53.66,2025-11-05 07:10:46
440,101,temp,57.21,2025-11-09 15:26:30
441,138,temp,32.66,2025-11-05 13:35:42
442,104,humidity,56.96,2025-11-09 08:09:39
443,114,humidity,50.02,2025-11-06 14:01:45
444,126,pressure,80.91,2025-11-03 20:13:54
445,121,humidity,34.49,2025-11-08 00:21:41
446,103,temp,49.49,2025-11-08 07:43:08
447,123,temp,51.01,2025-11-06 09:38:25
448,129,pressure,48.79,2025-11-07 18:32:55
449,116,temp,51.68,2025-11-02 11:39:51
450,105,pressure,57.21,2025-11-02 12:49:27
451,107,humidity,56.67,2025-11-10 20:38:31
452,110,pressure,50.09,2025-11-07 02:01:26
453,114,pressure,38.49,2025-11-03 06:29:38
454,138,pressure,41.74,2025-11-01 04:57:45
455,125,pressure,53.9,2025-11-05 19:05:57
456,102,pressure,52.4,2025-11-06 23:33:27
457,103,humidity,45.46,2025-11-02 17:52:33
458,109,temp,52.08,2025-11-07 08:56:04
459,103,pressure,60.57,2025-11-06 01:46:15
460,121,humidity,71.23,2025-11-09 16:19:21
461,138,pressure,44.15,2025-11-05 22:41:19
462,116,humidity,59.83,2025-11-06 14:17:38
463,113,temp,56.52,2025-11-03 03:07:00
464,103,humidity,45.14,2025-11-05 22:32:44
465,128,temp,50.94,2025-11-04 06:26:40
466,102,humidity,48.46,2025-11-01 13:28:16
467,108,humidity,81.51,2025-11-04 08:26:45
468,110,pressure,55.66,2025-11-07 13:24:45
469,124,temp,63.18,2025-11-05 09:27:26
470,104,pressure,36.35,2025-10-25 11:39:50
471,118,temp,46.37,2025-11-09 20:35:50
472,116,pressure,34.31,2025-11-07 12:17:04
473,127,pressure,33.67,2025-11-05 04:12:34
474,101,humidity,49.24,2025-11-09 20:03:59
475,125,temp,34.92,2025-11-02 08:52:44
476,109,pressure,38.44,2025-11-02 05:09:56
477,132,pressure,46.53,2025-11-07 06:02:25
478,122,temp,42.21,2025-11-01 01:28:22
479,102,pressure,70.59,2025-11-06 23:04:57
480,107,humidity,59.89,2025-11-07 07:48:54
481,108,pressure,38.15,2025-11-06 22:54:41
482,126,humidity,36.2,2025-11-02 10:29:14
483,125,pressure,30.42,2025-11-06 04:03:37
484,135,pressure,63.84,2025-11-02 08:11:04
485,104,humidity,27.38,2025-11-04 13:56:03
486,128,temp,62.51,2025-11-10 14:24:06
487,100,pressure,58.94,2025-11-06 22:55:56
488,113,temp,51.23,2025-11-10 05:37:15
489,114,pressure,61.55,2025-11-05 19:01:04
490,107,humidity,72.34,2025-11-09 21:05:29
491,139,temp,34.7,2025-11-10 04:51:44
492,126,temp,46.43,2025-11-05 00:24:30
493,119,pressure,58.5,2025-11-08 00:47:37
494,113,humidity,55.23,2025-11-03 00:03:16
495,117,temp,56.14,2025-11-05 03:24:54
496,121,temp,51.57,2025-11-08 04:40:42
497,112,pressure,51.41,2025-11-01 17:37:43
498,121,pressure,34.15,2025-11-10 19:13:38
499,112,temp,62.01,2025-11-08 04:20:59
500,137,humidity,47.8,2025-11-05 11:17:53
501,121,humidity,45.23,2025-11-06 09:44:54
502,112,humidity,43.26,2025-11-10 10:51:25
503,107,pressure,61.27,2025-11-04 15:57:28
504,120,temp,64.85,2025-11-09 22:07:21
505,119,pressure,38.89,2025-11-10 11:25:35
506,116,pressure,65.59,2025-11-03 15:39:15
507,121,pressure,35.52,2025-11-06 17:31:52
508,103,temp,31.66,2025-11-01 14:45:04
509,136,temp,36.61,2025-11-06 09:36:02
510,127,temp,37.56,2025-11-02 18:45:14
511,112,pressure,60.56,2025-11-05 05:46:41
512,114,pressure,41.17,2025-11-09 10:03:46
513,132,temp,67.2,2025-11-08 23:13:04
514,102,temp,52.3,2025-11-08 23:24:05
515,102,pressure,70.31,2025-11-09 14:33:58
516,102,temp,72.93,2025-11-08 21:14:35
517,103,pressure,50.74,2025-11-07 14:31:35
518,107,pressure,57.62,2025-11-06 00:04:13
519,112,pressure,38.99,2025-11-09 21:38:42
520,106,temp,66.75,2025-11-06 14:25:43
521,132,humidity,46.14,2025-11-10 08:29:49
522,136,humidity,41.48,2025-11-07 11:52:58
523,116,humidity,49.9,2025-11-04 14:39:23
524,106,humidity,56.57,2025-11-01 01:17:59
525,135,humidity,55.2,2025-11-06 02:13:31
526,100,pressure,54.99,2025-11-08 06:38:37
527,102,temp,45.83,2025-11-07 20:44:53
528,139,humidity,57.97,2025-11-04 03:54:08
529,100,humidity,34.79,2025-11-10 05:37:00
530,127,pressure,82.89,2025-11-07 00:44:14
531,109,temp,59.67,2025-11-03 03:09:01
532,113,pressure,50.31,2025-11-03 18:46:29
533,118,temp,39.65,2025-11-04 23:40:58
534,124,temp,72.95,2025-11-04 09:57:13
535,116,pressure,72.98,2025-11-06 05:32:40
536,131,temp,21.76,2025-11-10 20:11:20
537,129,temp,47.26,2025-11-02 18:31:16
538,132,pressure,57.53,2025-11-04 20:56:11
539,115,humidity,40.16,2025-11-10 04:03:05
540,111,temp,41.89,2025-11-06 22:42:20
541,102,temp,,2025-11-03 15:03:12
542,117,humidity,54.27,2025-11-06 01:21:19
543,116,pressure,54.37,2025-11-01 11:11:53
544,126,humidity,19.62,2025-11-02 11:29:10
545,100,pressure,56.61,2025-11-08 01:53:52
546,137,humidity,58.05,2025-11-07 15:53:49
547,105,pressure,26.77,2025-11-05 02:01:40
548,132,temp,37.18,2025-11-09 07:53:30
549,127,pressure,37.97,2025-11-02 03:21:31
550,121,pressure,29.95,2025-11-04 00:07:31
551,104,temp,45.7,2025-11-03 04:43:46
552,117,humidity,55.8,2025-11-01 01:37:53
553,113,pressure,61.81,2025-11-04 11:38:51
554,112,temp,52.05,2025-11-06 06:15:05
555,117,humidity,66.7,2025-11-10 00:21:07
556,104,temp,63.09,2025-11-10 01:23:42
557,128,pressure,38.67,2025-11-10 20:02:15
558,120,humidity,48.93,2025-11-04 20:48:27
559,110,humidity,31.38,2025-11-06 08:06:44
560,133,temp,48.25,2025-11-10 17:13:49
561,132,temp,66.36,2025-11-03 17:06:39
562,117,humidity,55.4,2025-11-08 10:30:06
563,105,temp,47.28,2025-11-09 06:05:39
564,129,temp,60.19,2025-11-06 19:15:04
565,105,humidity,37.52,2025-11-01 09:39:53
566,119,temp,31.0,2025-11-08 13:26:20
