order_id,customer_id,order_amount,order_status,updated_at
123,39,3131.53,PAID,2026-01-02
124,71,1338.17,CREATED,2026-02-18
125,22,3454.83,CREATED,2026-01-29
126,45,282.27,REFUNDED,2026-02-14
127,92,1297.08,CREATED,2026-01-25
128,8,2492.94,CREATED,2026-02-03
129,82,4752.93,CREATED,2026-02-13
130,70,2698.94,CREATED,2026-01-23
131,53,1753.02,PAID,2026-02-17
132,42,4710.52,CANCELLED,2026-01-02
133,30,2135.08,PAID,2026-01-30
134,27,4500.63,PAID,2026-02-12
135,65,419.28,CREATED,2026-02-18
136,63,4672.42,PAID,2026-02-23
137,87,3406.67,CREATED,2026-02-27
138,99,1407.34,CREATED,2026-01-07
139,13,4579.27,PAID,2026-02-04
140,7,918.23,CREATED,2026-02-04
141,35,1638.4,CANCELLED,2026-02-08
142,60,766.84,PAID,2026-01-31
143,94,4291.78,CANCELLED,2026-02-25
144,18,4350.51,PAID,2026-02-17
145,6,1014.04,PAID,2026-02-15
146,80,3748.8,PAID,2026-01-26
147,50,1694.01,PAID,2026-01-24
148,55,1565.75,CREATED,2026-02-07
149,77,3146.96,PAID,2026-02-09
150,93,3110.63,CREATED,2026-02-27
151,55,2020.99,PAID,2026-02-04
152,48,826.02,CREATED,2026-01-09
153,38,1975.4,PAID,2026-01-09
154,74,1645.02,PAID,2026-02-20
155,88,2919.26,PAID,2026-02-05
156,22,3534.5,PAID,2026-01-12
157,5,4708.73,CANCELLED,2026-02-22
158,92,3677.11,CREATED,2026-02-27
159,77,3912.28,CANCELLED,2026-02-27
160,76,1319.41,PAID,2026-02-13
161,7,3494.64,PAID,2026-02-19
162,98,397.16,PAID,2026-02-25
163,86,2676.67,CREATED,2026-01-11
164,86,4688.37,CANCELLED,2026-02-22
165,31,677.34,REFUNDED,2026-01-22
166,93,4003.01,PAID,2026-01-26
167,57,896.42,CREATED,2026-02-10
168,52,393.47,PAID,2026-02-25
169,56,4084.48,CREATED,2026-02-26
170,13,4267.64,PAID,2026-02-15
171,77,3199.72,CREATED,2026-01-10
172,37,999.52,CREATED,2026-02-02
173,72,3955.05,CREATED,2026-01-12
174,86,4352.46,CREATED,2026-02-28
175,59,4027.59,CREATED,2026-02-12
176,42,3293.1,CREATED,2026-02-08
177,16,4842.81,PAID,2026-02-02
178,44,1891.55,REFUNDED,2026-02-10
179,60,637.52,PAID,2026-01-11
180,83,1999.65,CREATED,2026-02-01
181,64,4578.53,CREATED,2026-01-10
182,29,4899.64,CREATED,2026-01-11
183,17,433.15,REFUNDED,2026-01-05
184,6,463.34,CANCELLED,2026-01-23
185,36,2825.24,PAID,2026-01-21
186,78,1318.99,CREATED,2026-02-11
187,33,4660.75,REFUNDED,2026-01-18
188,88,3034.93,CREATED,2026-01-25
189,96,3156.13,PAID,2026-01-20
190,34,2171.85,PAID,2026-01-30
191,46,2837.44,CREATED,2026-02-19
192,41,791.3,PAID,2026-02-10
193,92,940.19,CREATED,2026-02-11
194,15,3547.49,PAID,2026-01-13
195,46,4080.02,PAID,2026-01-24
196,43,3230.39,CREATED,2026-02-14
197,97,304.68,CREATED,2026-02-04
198,35,3751.78,CANCELLED,2026-02-10
199,96,2169.34,PAID,2026-02-10
200,56,1579.23,CREATED,2026-01-23
201,19,100.03,PAID,2026-01-07
202,10,729.32,CREATED,2026-01-29
203,74,353.53,CREATED,2026-01-22
204,14,3068.58,PAID,2026-02-27
205,86,2073.07,CANCELLED,2026-01-03
206,44,1745.79,CREATED,2026-01-19
207,2,2688.29,CANCELLED,2026-01-05
208,32,2226.5,PAID,2026-01-24
209,15,2388.26,REFUNDED,2026-01-09
210,81,2216.53,PAID,2026-01-14
211,49,2968.33,CREATED,2026-01-30
212,26,2768.16,PAID,2026-01-27
213,34,4989.4,CREATED,2026-01-15
214,86,1963.07,PAID,2026-02-14
215,84,2730.12,CANCELLED,2026-02-07
216,83,4140.7,CREATED,2026-02-08
217,65,717.86,CANCELLED,2026-01-28
218,78,1563.64,PAID,2026-01-19
219,59,1916.14,CREATED,2026-02-21
220,11,2213.66,PAID,2026-01-09
221,53,2846.56,CREATED,2026-02-15
222,28,4968.02,CREATED,2026-01-13
223,29,2495.29,CREATED,2026-01-19
224,9,2306.58,CREATED,2026-02-15
225,98,4258.12,PAID,2026-01-04
226,90,3856.2,PAID,2026-01-20
227,45,2043.11,PAID,2026-01-16
228,52,4646.38,REFUNDED,2026-02-24
229,55,1391.1,PAID,2026-02-22
230,43,4656.38,PAID,2026-01-18
231,93,3713.71,CREATED,2026-03-01
232,8,3617.95,PAID,2026-01-01
233,16,4143.22,CREATED,2026-02-17
234,1,2534.47,PAID,2026-02-01
235,83,1437.37,PAID,2026-01-08
236,49,2829.38,PAID,2026-01-24
237,65,4679.32,CANCELLED,2026-02-16
238,45,3935.05,PAID,2026-01-27
239,10,424.47,CREATED,2026-02-11
240,47,1960.04,PAID,2026-01-30
241,57,729.57,PAID,2026-02-13
242,99,3621.41,CANCELLED,2026-02-08
243,49,3358.28,REFUNDED,2026-02-24
244,44,3995.52,CREATED,2026-02-05
245,6,359.17,CREATED,2026-01-09
246,22,3335.73,PAID,2026-01-11
247,17,976.02,PAID,2026-01-20
248,12,3374.73,REFUNDED,2026-01-03
249,33,4879.1,CREATED,2026-02-20
250,41,653.24,PAID,2026-02-25
251,37,2863.62,PAID,2026-02-15
252,70,4857.49,CREATED,2026-01-19
253,29,1978.84,PAID,2026-01-23
254,94,3551.85,CREATED,2026-02-22
255,50,1741.31,CANCELLED,2026-02-14
256,62,2345.46,CANCELLED,2026-02-27
257,53,4702.44,CREATED,2026-02-19
258,96,451.27,CANCELLED,2026-02-02
259,8,2326.72,PAID,2026-02-21
260,93,174.31,PAID,2026-02-01
261,59,2702.01,CANCELLED,2026-02-06
262,51,3642.49,CREATED,2026-01-24
263,49,4051.87,PAID,2026-01-21
264,79,1797.63,CANCELLED,2026-01-26
265,48,3606.56,CREATED,2026-01-04
266,63,4178.47,PAID,2026-01-13
267,78,4588.76,CANCELLED,2026-01-04
268,84,1522.27,CREATED,2026-01-08
269,78,4080.28,CREATED,2026-02-13
270,25,1691.61,PAID,2026-01-28
271,68,260.24,PAID,2026-01-17
272,8,3986.07,CANCELLED,2026-01-12
273,50,631.91,PAID,2026-02-01
274,33,1402.63,CREATED,2026-01-17
275,34,268.57,PAID,2026-02-08
276,76,3035.77,PAID,2026-01-05
277,92,688.0,PAID,2026-01-04
278,69,2166.53,REFUNDED,2026-01-27
279,96,1228.25,CANCELLED,2026-03-01
280,62,3372.52,PAID,2026-01-15
281,95,2155.19,CREATED,2026-02-22
282,79,4472.44,CREATED,2026-02-26
283,44,1391.27,CREATED,2026-03-01
284,77,2935.12,PAID,2026-01-20
285,17,577.99,CREATED,2026-01-25
286,27,3089.34,CREATED,2026-01-04
287,97,1853.53,CREATED,2026-01-13
288,98,4350.68,CREATED,2026-02-20
289,9,1660.72,PAID,2026-01-18
290,53,4174.69,PAID,2026-01-07
291,95,4744.04,REFUNDED,2026-01-10
292,98,3519.89,CREATED,2026-02-15
293,80,2469.19,CREATED,2026-01-28
294,23,1356.45,CANCELLED,2026-01-14
295,57,366.03,CREATED,2026-02-25
296,54,462.84,CANCELLED,2026-02-08
297,35,4868.23,PAID,2026-01-16
298,13,2119.11,PAID,2026-01-16
299,5,2509.74,CREATED,2026-02-04
300,45,2997.43,CREATED,2026-01-14
301,56,2671.27,PAID,2026-01-05
302,21,3921.22,CREATED,2026-02-13
303,44,3840.84,PAID,2026-02-14
304,50,742.79,CREATED,2026-01-31
305,19,1471.08,CREATED,2026-01-18
306,57,854.25,CREATED,2026-01-06
307,22,802.65,REFUNDED,2026-02-26
308,51,3213.85,PAID,2026-01-13
309,23,1207.07,PAID,2026-02-10
310,19,4167.13,PAID,2026-01-22
311,70,4451.81,PAID,2026-02-10
312,6,1435.36,CANCELLED,2026-01-10
313,6,3786.25,PAID,2026-01-31
314,71,1421.44,CREATED,2026-02-28
315,96,338.12,CREATED,2026-02-20
316,30,3671.91,CREATED,2026-01-04
317,17,1977.1,CREATED,2026-03-01
318,43,4905.33,CREATED,2026-02-06
319,47,3288.26,CANCELLED,2026-02-25
320,69,1160.36,CREATED,2026-01-21
321,78,2397.45,PAID,2026-02-08
322,67,619.48,CREATED,2026-02-07
323,13,4921.85,PAID,2026-02-01
324,55,1476.45,PAID,2026-01-31
325,89,1310.11,CANCELLED,2026-01-13
326,92,101.33,CANCELLED,2026-01-05
327,56,3725.94,PAID,2026-01-28
328,17,3635.14,CREATED,2026-01-05
329,6,3127.03,PAID,2026-03-01
330,94,901.0,PAID,2026-01-21
331,74,2818.71,PAID,2026-02-27
332,45,1606.5,CREATED,2026-02-14
333,56,4893.63,CREATED,2026-01-05
334,40,3919.65,REFUNDED,2026-02-21
335,79,279.62,PAID,2026-02-23
336,71,739.66,PAID,2026-02-08
337,63,870.17,REFUNDED,2026-02-24
338,3,1820.5,CANCELLED,2026-01-12
339,38,205.71,CREATED,2026-02-13
340,87,750.93,PAID,2026-01-09
341,47,1174.83,CANCELLED,2026-02-28
342,10,4024.15,PAID,2026-01-04
343,36,2586.79,PAID,2026-01-31
344,16,2620.99,CANCELLED,2026-02-08
345,21,733.01,CREATED,2026-01-08
346,33,2138.23,PAID,2026-01-30
347,100,384.39,REFUNDED,2026-02-25
348,22,685.74,PAID,2026-01-18
349,71,3183.63,PAID,2026-02-06
350,85,731.67,CREATED,2026-02-12
351,1,943.92,CREATED,2026-01-19
352,85,4897.9,PAID,2026-01-10
353,34,4171.73,CREATED,2026-01-19
354,22,2606.73,PAID,2026-01-01
355,67,2613.74,REFUNDED,2026-02-01
356,12,2936.84,CREATED,2026-02-03
357,48,541.54,PAID,2026-02-11
358,12,3312.94,CREATED,2026-01-15
359,37,3904.06,CREATED,2026-02-22
360,73,593.33,CANCELLED,2026-02-27
361,44,267.88,CREATED,2026-02-11
362,72,3531.58,CREATED,2026-01-06
363,54,4163.74,PAID,2026-01-13
364,8,4942.25,REFUNDED,2026-01-11
365,22,4263.5,PAID,2026-01-29
366,20,1144.25,PAID,2026-02-02
367,87,2662.3,CANCELLED,2026-01-06
368,46,3683.54,PAID,2026-02-06
369,51,4069.78,PAID,2026-02-14
370,100,2412.75,PAID,2026-01-29
371,82,518.34,CANCELLED,2026-02-03
372,34,3628.04,PAID,2026-02-01
373,9,1240.84,PAID,2026-02-19
374,80,4280.98,CREATED,2026-01-19
375,75,2914.82,CREATED,2026-01-04
376,19,746.32,PAID,2026-02-23
377,92,3908.57,CREATED,2026-01-17
378,60,1498.35,CREATED,2026-02-17
379,82,3229.79,CREATED,2026-01-22
380,91,222.22,CREATED,2026-02-11
381,1,1763.32,CREATED,2026-01-29
382,73,4773.17,PAID,2026-01-26
383,14,4634.99,CREATED,2026-01-04
384,25,1397.5,CANCELLED,2026-02-10
385,13,1686.73,CREATED,2026-01-22
386,50,803.6,CREATED,2026-01-07
387,99,274.18,CREATED,2026-01-20
388,68,3380.95,PAID,2026-02-27
389,97,877.42,CREATED,2026-01-03
390,91,3205.26,CREATED,2026-01-01
391,82,628.51,PAID,2026-01-17
392,76,1993.42,CREATED,2026-01-28
393,2,3372.08,CANCELLED,2026-01-17
394,38,4841.6,PAID,2026-02-06
395,38,4630.88,PAID,2026-01-18
396,55,1545.67,CREATED,2026-01-20
397,74,1926.92,PAID,2026-01-07
398,92,2311.62,PAID,2026-02-19
399,84,1614.76,CREATED,2026-01-09
400,44,4091.99,PAID,2026-02-01
401,51,4339.31,PAID,2026-01-02
402,85,1011.49,CANCELLED,2026-01-12
403,67,1754.73,CANCELLED,2026-01-20
404,9,425.35,CREATED,2026-02-03
405,63,4277.68,PAID,2026-01-21
406,85,2281.76,CANCELLED,2026-01-24
407,58,3316.95,REFUNDED,2026-02-05
408,49,2739.65,PAID,2026-01-16
409,75,2658.8,CREATED,2026-01-30
410,33,3460.55,CREATED,2026-02-28
411,67,104.18,PAID,2026-01-04
412,23,2903.25,PAID,2026-02-16
413,68,3863.83,PAID,2026-02-15
414,42,2524.92,PAID,2026-02-18
415,29,650.59,CREATED,2026-01-30
416,54,3644.99,CREATED,2026-02-16
417,80,4716.07,PAID,2026-02-26
418,46,1414.01,CANCELLED,2026-01-25
419,74,3629.55,CREATED,2026-01-10
420,42,3893.29,CREATED,2026-02-11
421,37,2650.38,CANCELLED,2026-02-26
422,41,2724.79,CREATED,2026-01-22
423,13,4525.96,PAID,2026-03-01
424,99,2047.91,PAID,2026-02-08
425,37,2545.93,CREATED,2026-01-11
426,87,1357.39,CANCELLED,2026-02-24
427,70,3438.09,CREATED,2026-02-17
428,60,3942.85,CREATED,2026-01-12
429,80,1968.28,PAID,2026-02-19
430,4,4192.83,PAID,2026-01-11
431,38,4088.71,CREATED,2026-02-19
432,87,3202.42,PAID,2026-02-28
433,47,1723.2,CREATED,2026-02-01
434,15,427.06,CREATED,2026-01-03
435,20,927.22,PAID,2026-01-05
436,51,3421.24,CANCELLED,2026-01-14
437,38,1597.33,CREATED,2026-02-23
438,58,1291.49,CREATED,2026-02-16
439,88,4248.04,CREATED,2026-02-22
440,70,4566.99,PAID,2026-02-15
441,89,2891.14,CREATED,2026-01-25
442,12,1158.25,CREATED,2026-01-26
443,27,2523.43,PAID,2026-03-01
444,35,627.5,PAID,2026-01-07
445,81,2698.39,PAID,2026-03-01
446,42,4594.88,PAID,2026-02-03
447,84,2094.92,PAID,2026-01-20
448,35,1372.54,REFUNDED,2026-01-30
449,64,1959.9,CREATED,2026-01-18
450,75,1359.85,CREATED,2026-02-10
451,69,2956.22,CREATED,2026-02-13
452,68,2254.18,PAID,2026-01-02
453,5,1255.02,CANCELLED,2026-02-08
454,8,4422.31,CREATED,2026-01-13
455,59,337.45,PAID,2026-01-19
456,3,3677.51,CANCELLED,2026-01-17
457,40,3925.11,CANCELLED,2026-01-11
458,57,1525.99,PAID,2026-02-22
459,75,925.77,PAID,2026-01-02
460,73,1868.64,CANCELLED,2026-01-29
461,94,4113.25,CREATED,2026-01-19
462,5,2229.59,PAID,2026-02-18
463,1,3613.94,CANCELLED,2026-01-04
464,53,3080.93,PAID,2026-02-05
465,88,601.86,CREATED,2026-01-24
466,21,2592.58,PAID,2026-02-11
467,94,3192.86,PAID,2026-02-14
468,32,1473.57,REFUNDED,2026-02-18
469,50,595.87,CANCELLED,2026-01-26
470,23,3830.92,PAID,2026-02-07
471,31,517.0,PAID,2026-01-25
472,65,3926.66,CREATED,2026-02-18
473,35,3137.08,REFUNDED,2026-02-17
474,85,2921.2,PAID,2026-01-05
475,80,1107.56,CREATED,2026-01-02
476,21,1660.16,CANCELLED,2026-01-08
477,18,1566.43,CREATED,2026-01-20
478,11,3176.83,PAID,2026-01-28
479,1,2478.92,CREATED,2026-02-24
480,1,2163.55,CREATED,2026-02-27
481,99,2928.16,PAID,2026-01-10
482,36,4190.62,CREATED,2026-01-28
483,29,392.67,PAID,2026-01-20
484,42,3669.65,CREATED,2026-01-09
485,36,1587.09,CANCELLED,2026-01-14
486,86,1206.53,CREATED,2026-01-17
487,46,2601.61,CREATED,2026-02-22
488,89,981.64,PAID,2026-02-23
489,61,3540.55,PAID,2026-01-15
490,87,1627.5,PAID,2026-02-22
491,88,1626.73,PAID,2026-01-10
492,93,4832.98,PAID,2026-01-15
493,12,1614.31,CREATED,2026-02-25
494,12,673.41,CREATED,2026-01-28
495,23,477.01,PAID,2026-01-28
496,29,3660.44,PAID,2026-01-19
497,37,1177.95,CREATED,2026-02-18
498,67,2063.78,CREATED,2026-02-19
499,94,4028.16,PAID,2026-02-07
500,55,4216.54,REFUNDED,2026-01-24
