order_id,customer_id,restaurant_id,driver_id,order_ts,estimated_delivery_ts,actual_delivery_ts,order_status,distance_km,order_amount
21,151,47,87,2024-05-17 21:58:38,2024-05-17 22:38:38,,PICKED,5.49,109.59
22,11,115,38,2024-04-13 21:36:47,2024-04-13 22:11:47,2024-04-13 22:22:47,DELIVERED,3.79,491.74
23,134,102,140,2024-03-02 03:14:45,2024-03-02 04:08:45,2024-03-02 04:22:45,DELIVERED,4.7,188.42
24,75,64,118,2024-07-10 22:31:49,2024-07-10 23:21:49,2024-07-10 23:12:49,DELIVERED,5.04,424.93
25,98,3,100,2024-04-05 03:02:22,2024-04-05 03:47:22,2024-04-05 04:15:22,DELIVERED,2.15,422.81
26,107,23,118,2024-01-30 04:31:23,2024-01-30 05:04:23,2024-01-30 04:59:23,DELIVERED,7.35,80.0
27,212,29,89,2024-06-24 03:47:48,2024-06-24 04:19:48,2024-06-24 04:12:48,DELIVERED,4.81,267.12
28,50,59,91,2024-02-06 04:15:14,2024-02-06 04:48:14,2024-02-06 05:22:14,DELIVERED,3.93,158.83
29,45,60,43,2024-10-11 02:17:53,2024-10-11 02:51:53,2024-10-11 03:04:53,DELIVERED,5.52,355.81
30,166,8,116,2024-01-24 04:59:51,2024-01-24 05:41:51,,CANCELLED,3.77,609.9
31,128,120,58,2024-02-22 17:17:57,2024-02-22 18:08:57,,DONE,5.93,104.99
32,170,73,50,2024-06-16 19:32:26,2024-06-16 20:22:26,,CANCELLED,6.64,80.0
33,7,111,15,2024-02-02 18:18:10,2024-02-02 19:11:10,,PLACED,6.12,284.87
34,141,113,44,2024-08-05 22:20:28,2024-08-05 22:49:28,,PLACED,5.51,520.24
35,196,24,92,2024-09-15 16:56:41,2024-09-15 17:31:41,2024-09-15 18:01:41,DELIVERED,6.63,509.69
36,120,81,107,2024-12-13 04:00:47,2024-12-13 04:55:47,,PLACED,5.7,415.06
37,186,79,90,2024-03-09 02:12:05,2024-03-09 02:57:05,2024-03-09 03:32:05,DELIVERED,4.02,651.04
38,22,99,21,2024-03-05 04:53:08,2024-03-05 05:45:08,,CANCELLED,5.7,296.05
39,47,92,83,2024-02-19 21:07:38,2024-02-19 21:35:38,2024-02-19 22:05:38,DELIVERED,2.8,238.11
40,216,78,40,2024-01-09 04:17:59,2024-01-09 04:53:59,2024-01-09 05:04:59,DELIVERED,4.05,237.73
41,109,57,132,2025-01-16 09:10:37,2025-01-16 09:35:37,,ACCEPTED,1.55,191.68
42,194,28,29,2024-03-25 06:33:43,2024-03-25 07:08:43,2024-03-25 07:10:43,DELIVERED,3.33,358.36
43,173,32,102,2024-08-17 09:34:36,2024-08-17 10:11:36,,PICKED,1.93,224.11
44,35,46,25,2024-07-02 13:02:28,2024-07-02 13:42:28,2024-07-02 14:09:28,DELIVERED,2.57,412.65
45,34,29,138,2025-01-03 21:44:20,2025-01-03 22:15:20,,PLACED,4.79,635.47
46,124,84,57,2024-12-09 07:17:38,2024-12-09 07:49:38,2024-12-09 08:23:38,DELIVERED,4.37,80.0
47,161,81,19,2024-01-14 07:23:55,2024-01-14 08:15:55,2024-01-14 08:15:55,DELIVERED,5.28,421.28
48,216,50,64,2024-06-24 14:26:16,2024-06-24 14:52:16,2024-06-24 14:56:16,DELIVERED,3.63,292.02
49,86,85,106,2024-05-15 09:59:58,2024-05-15 10:42:58,2024-05-15 10:50:58,DELIVERED,4.16,80.0
50,39,76,114,2024-02-26 04:04:54,2024-02-26 04:47:54,,CANCELLED,6.47,80.0
51,45,57,105,2024-12-23 02:37:14,,2024-12-23 03:13:14,DELIVERED,3.18,292.73
52,220,33,41,2024-09-03 16:46:39,2024-09-03 17:41:39,2024-09-03 18:07:39,DELIVERED,3.99,716.9
53,135,94,85,2024-04-10 15:40:29,2024-04-10 16:27:29,2024-04-10 16:53:29,DELIVERED,3.09,80.0
54,169,2,62,2024-12-03 22:25:31,2024-12-03 23:14:31,,PICKED,4.49,334.48
55,128,8,43,2024-01-26 03:05:57,2024-01-26 03:59:57,2024-01-26 04:33:57,DELIVERED,7.38,146.9
56,117,100,139,2024-01-14 15:49:53,2024-01-14 16:19:53,,PICKED,4.2,601.97
57,173,67,42,2024-03-09 06:28:10,2024-03-09 06:55:10,2024-03-09 07:18:10,DELIVERED,1.55,411.27
58,184,115,103,2024-10-27 18:13:29,2024-10-27 18:48:29,,PLACED,5.29,446.78
59,87,25,94,2024-09-11 10:29:41,2024-09-11 11:04:41,,ACCEPTED,4.02,80.0
60,180,76,37,2024-12-21 11:21:16,2024-12-21 12:11:16,,PLACED,6.86,276.78
61,157,62,134,2024-12-27 06:09:27,2024-12-27 06:38:27,2024-12-27 07:04:27,DELIVERED,5.22,178.42
62,26,106,115,2024-06-14 11:22:03,2024-06-14 12:08:03,2024-06-14 12:19:03,DELIVERED,6.17,282.46
63,125,76,97,2024-05-18 05:10:39,2024-05-18 05:43:39,2024-05-18 05:51:39,DELIVERED,4.55,230.6
64,47,72,138,2024-03-13 07:23:11,2024-03-13 07:57:11,,ACCEPTED,7.38,430.85
65,74,80,57,2024-11-22 02:36:53,2024-11-22 03:25:53,2024-11-22 03:48:53,DELIVERED,6.73,228.69
66,57,120,130,2024-04-21 03:35:42,2024-04-21 04:02:42,2024-04-21 04:03:42,DELIVERED,4.3,80.0
67,106,112,33,2024-05-05 06:15:57,2024-05-05 07:02:57,2024-05-05 07:23:57,DELIVERED,4.73,441.04
68,110,74,109,2024-04-02 13:23:20,2024-04-02 14:04:20,,ACCEPTED,6.77,439.12
69,184,23,113,2024-05-17 00:48:51,2024-05-17 01:22:51,,PICKED,4.19,377.4
70,6,42,37,2024-08-22 21:44:24,2024-08-22 22:22:24,,ACCEPTED,3.47,211.31
71,60,44,85,2024-03-17 04:55:01,2024-03-17 05:35:01,,ACCEPTED,5.34,313.36
72,163,89,29,2024-07-25 07:17:10,2024-07-25 08:06:10,2024-07-25 08:25:10,DELIVERED,0.5,80.0
73,191,1,71,2024-10-26 21:26:22,2024-10-26 22:07:22,,PLACED,3.05,737.29
74,91,92,84,2024-06-10 00:18:00,2024-06-10 01:11:00,,PLACED,5.75,229.67
75,19,62,75,2024-04-14 07:41:10,2024-04-14 08:22:10,2024-04-14 08:15:10,DELIVERED,8.23,80.0
76,12,69,62,2024-04-26 14:14:48,2024-04-26 15:06:48,2024-04-26 15:14:48,DELIVERED,4.42,369.1
77,123,41,58,2024-12-05 04:40:43,2024-12-05 05:13:43,2024-12-05 05:21:43,DELIVERED,6.28,471.73
78,93,108,71,2024-12-22 06:03:46,2024-12-22 06:44:46,,ACCEPTED,7.41,80.0
79,106,7,116,2025-01-08 06:47:19,2025-01-08 07:40:19,,PLACED,4.01,765.99
80,172,101,112,2024-10-25 03:18:20,2024-10-25 03:55:20,2024-10-25 04:05:20,DELIVERED,4.24,672.92
81,204,57,110,2024-07-09 05:03:02,2024-07-09 05:52:02,,CANCELLED,6.91,369.78
82,147,117,56,2024-02-26 15:03:17,2024-02-26 15:43:17,2024-02-26 15:40:17,DELIVERED,4.83,596.25
83,200,31,70,2024-03-22 03:07:34,2024-03-22 03:42:34,,PICKED,5.81,236.9
84,154,8,68,2025-01-07 20:27:09,2025-01-07 21:06:09,2025-01-07 21:32:09,DELIVERED,3.55,348.03
85,26,69,38,2024-05-13 17:19:57,2024-05-13 18:11:57,,PLACED,4.04,209.56
86,11,54,6,2024-08-24 20:26:31,2024-08-24 21:15:31,2024-08-24 21:42:31,DELIVERED,3.94,366.62
87,219,21,67,2024-02-08 02:59:28,2024-02-08 03:32:28,2024-02-08 03:28:28,DELIVERED,4.3,80.0
88,154,17,65,2024-04-04 03:40:15,2024-04-04 04:19:15,,PLACED,4.02,80.0
89,206,34,59,2024-05-10 01:19:46,2024-05-10 02:10:46,,ACCEPTED,8.94,310.79
90,126,75,140,2024-01-12 00:34:26,2024-01-12 01:21:26,2024-01-12 01:29:26,DELIVERED,6.13,220.01
91,214,48,96,2024-02-12 21:50:12,2024-02-12 22:32:12,2024-02-12 22:49:12,DELIVERED,1.52,110.48
92,101,67,127,2024-08-09 00:26:10,2024-08-09 00:56:10,2024-08-09 01:19:10,DELIVERED,3.65,290.54
93,145,35,49,2024-09-10 17:27:43,2024-09-10 18:18:43,2024-09-10 18:18:43,DELIVERED,8.18,480.46
94,48,20,99,2024-02-11 19:35:44,2024-02-11 20:14:44,2024-02-11 20:18:44,DELIVERED,6.19,471.97
95,54,38,131,2024-04-16 20:39:42,2024-04-16 21:23:42,2024-04-16 21:56:42,DELIVERED,4.57,610.85
96,11,89,82,2025-01-08 15:10:49,2025-01-08 15:51:49,2025-01-08 15:44:49,DELIVERED,2.66,263.19
97,119,110,94,2024-02-22 19:40:24,2024-02-22 20:24:24,2024-02-22 20:37:24,DELIVERED,5.46,337.8
98,127,30,100,2024-06-27 05:38:38,2024-06-27 06:10:38,,ACCEPTED,4.92,647.86
99,36,58,30,2025-01-26 13:18:45,2025-01-26 14:07:45,,PLACED,4.12,602.17
100,119,54,49,2024-11-19 08:34:36,2024-11-19 09:03:36,2024-11-19 09:37:36,DELIVERED,2.79,328.03
101,127,23,45,2024-07-18 09:50:52,2024-07-18 10:35:52,,ACCEPTED,7.59,499.61
102,217,52,113,2024-11-10 19:46:18,2024-11-10 20:36:18,2024-11-10 20:27:18,DELIVERED,4.43,293.27
103,61,85,82,2024-12-28 02:54:38,2024-12-28 03:40:38,2024-12-28 03:32:38,DELIVERED,0.5,423.16
104,134,31,124,2024-06-22 23:56:41,2024-06-23 00:25:41,,PICKED,4.51,96.37
105,117,2,19,2024-08-25 10:08:10,2024-08-25 10:45:10,,PICKED,6.31,313.91
106,95,52,140,2024-05-28 05:27:55,2024-05-28 06:06:55,,PLACED,5.92,209.11
107,57,98,24,2024-05-16 17:48:03,2024-05-16 18:33:03,,CANCELLED,6.0,229.73
108,84,42,28,2024-09-24 13:02:36,2024-09-24 13:30:36,,ACCEPTED,4.09,123.96
109,82,68,87,2024-09-04 11:10:11,2024-09-04 12:05:11,2024-09-04 12:34:11,DELIVERED,3.32,339.34
110,172,68,59,2025-01-10 15:47:22,2025-01-10 16:22:22,2025-01-10 16:44:22,DELIVERED,1.44,443.95
111,129,36,73,2024-12-16 18:09:55,2024-12-16 18:36:55,2024-12-16 18:29:55,DELIVERED,8.24,649.19
112,168,111,139,2024-02-23 13:31:31,2024-02-23 14:02:31,,PLACED,5.6,118.85
113,157,72,15,2024-06-03 20:46:09,2024-06-03 21:26:09,2024-06-03 21:59:09,DELIVERED,5.14,173.15
114,111,102,10,2024-02-03 11:33:38,2024-02-03 12:15:38,,PICKED,5.82,80.0
115,142,120,49,2024-12-06 00:57:35,2024-12-06 01:38:35,,PICKED,3.9,336.9
116,80,92,72,2024-03-19 04:41:01,2024-03-19 05:28:01,,ACCEPTED,2.48,512.27
117,218,88,82,2025-01-25 09:53:23,2025-01-25 10:21:23,2025-01-25 10:12:23,DELIVERED,5.29,251.1
118,161,32,59,2024-04-06 05:21:51,2024-04-06 05:50:51,2024-04-06 05:44:51,DELIVERED,6.86,158.9
119,121,11,34,2024-08-26 09:01:00,2024-08-26 09:56:00,,ACCEPTED,5.28,298.45
120,96,105,111,2024-12-21 18:24:15,2024-12-21 18:57:15,,PICKED,0.5,319.55
121,90,44,64,2024-07-15 02:07:30,2024-07-15 02:54:30,2024-07-15 03:24:30,DELIVERED,9.45,80.0
122,78,97,1,2024-08-28 01:56:12,2024-08-28 02:33:12,,ACCEPTED,7.96,187.1
123,31,79,116,2024-08-02 15:30:19,2024-08-02 16:00:19,2024-08-02 15:59:19,DELIVERED,4.17,111.79
124,134,64,31,2024-07-09 03:23:49,2024-07-09 04:02:49,2024-07-09 04:05:49,DELIVERED,7.29,169.23
125,184,86,8,2024-11-23 15:29:41,2024-11-23 16:06:41,2024-11-23 16:06:41,DELIVERED,8.01,182.58
126,117,84,138,2024-05-28 12:27:41,2024-05-28 13:21:41,2024-05-28 13:31:41,DELIVERED,1.39,194.28
127,30,70,132,2024-06-29 22:06:24,2024-06-29 22:47:24,2024-06-29 23:00:24,DELIVERED,5.77,657.51
128,215,11,22,2024-02-09 18:06:38,2024-02-09 18:36:38,,PICKED,5.89,231.05
129,55,88,99,2024-08-31 06:31:37,2024-08-31 07:22:37,2024-08-31 07:44:37,DELIVERED,3.77,154.98
130,214,35,131,2024-06-23 21:44:23,2024-06-23 22:37:23,2024-06-23 22:35:23,DELIVERED,5.21,343.62
131,122,92,113,2024-10-10 19:18:57,2024-10-10 20:13:57,,ACCEPTED,2.88,207.1
132,93,90,55,2025-01-25 21:31:56,2025-01-25 22:26:56,2025-01-25 22:50:56,DELIVERED,2.96,130.98
133,15,91,36,2024-12-22 00:47:00,2024-12-22 01:12:00,2024-12-22 01:15:00,DELIVERED,3.86,322.86
134,186,82,2,2024-07-06 22:04:30,2024-07-06 22:48:30,,PLACED,6.72,426.42
135,217,104,119,2024-08-30 01:21:08,2024-08-30 01:59:08,,CANCELLED,5.65,525.5
136,75,29,61,2024-04-28 03:15:21,2024-04-28 03:42:21,2024-04-28 04:07:21,DELIVERED,8.01,80.0
137,91,21,128,2024-11-24 19:08:18,2024-11-24 19:53:18,2024-11-24 20:16:18,DELIVERED,4.14,334.8
138,81,72,4,2024-07-01 14:08:59,2024-07-01 14:51:59,2024-07-01 14:51:59,DELIVERED,0.5,117.2
139,43,90,140,2024-06-19 16:40:49,2024-06-19 17:35:49,,ACCEPTED,4.86,161.18
140,69,35,42,2024-01-10 08:45:13,2024-01-10 09:15:13,2024-01-10 09:06:13,DELIVERED,3.83,215.57
141,34,53,56,2024-11-07 17:00:59,2024-11-07 17:55:59,2024-11-07 17:48:59,DELIVERED,7.54,479.98
142,112,3,137,2024-11-20 00:51:37,2024-11-20 01:22:37,,PLACED,1.64,291.08
143,70,49,18,2024-08-20 20:40:32,2024-08-20 21:34:32,2024-08-20 21:28:32,DELIVERED,5.81,101.04
144,112,78,112,2024-07-17 19:55:30,2024-07-17 20:50:30,2024-07-17 21:10:30,DELIVERED,5.16,151.06
145,132,70,116,2024-03-19 15:11:38,2024-03-19 15:52:38,,PLACED,2.78,453.79
146,19,81,74,2024-05-17 16:36:53,2024-05-17 17:10:53,,PLACED,4.99,292.92
147,146,46,45,2024-05-16 00:52:56,2024-05-16 01:35:56,2024-05-16 01:43:56,DELIVERED,4.03,166.24
148,15,27,97,2024-04-11 21:35:02,2024-04-11 22:04:02,2024-04-11 22:04:02,DELIVERED,3.72,140.39
149,205,84,6,2024-04-26 18:03:07,2024-04-26 18:45:07,2024-04-26 18:49:07,DELIVERED,2.52,80.0
150,181,14,40,2024-02-11 01:41:20,2024-02-11 02:17:20,2024-02-11 02:32:20,DELIVERED,5.25,450.54
151,86,91,57,2024-05-08 04:21:29,2024-05-08 04:50:29,2024-05-08 05:15:29,DELIVERED,6.52,334.03
152,7,64,82,2024-04-17 04:28:52,2024-04-17 05:13:52,2024-04-17 05:16:52,DELIVERED,4.47,653.96
153,201,11,5,2024-10-10 23:56:50,2024-10-11 00:35:50,2024-10-11 00:59:50,DELIVERED,4.45,184.33
154,99,36,116,2024-10-09 16:49:45,2024-10-09 17:33:45,,CANCELLED,4.71,431.98
155,127,98,74,2024-06-13 09:09:07,2024-06-13 09:34:07,2024-06-13 09:33:07,DELIVERED,5.73,196.52
156,65,32,94,2024-03-28 05:55:14,2024-03-28 06:34:14,2024-03-28 07:06:14,DELIVERED,4.82,144.16
157,52,2,103,2024-07-21 20:52:51,2024-07-21 21:30:51,2024-07-21 21:45:51,DELIVERED,6.35,146.03
158,29,80,85,2024-09-04 07:14:06,2024-09-04 07:42:06,,PICKED,7.11,406.79
159,198,113,83,2024-07-25 13:52:14,2024-07-25 14:28:14,,PICKED,3.99,295.32
160,173,5,16,2024-10-03 21:25:24,2024-10-03 22:15:24,2024-10-03 22:08:24,DELIVERED,6.14,353.74
161,88,45,130,2024-06-10 17:26:06,2024-06-10 17:57:06,,ACCEPTED,3.88,195.36
162,6,27,12,2024-07-22 10:04:51,2024-07-22 10:53:51,2024-07-22 11:04:51,DELIVERED,6.87,426.46
163,125,68,128,2024-11-06 01:43:54,2024-11-06 02:25:54,,PLACED,3.37,346.19
164,202,33,113,2024-12-23 07:31:35,2024-12-23 08:22:35,,PICKED,5.35,431.63
165,184,25,23,2024-07-11 06:57:11,2024-07-11 07:37:11,,ACCEPTED,9.25,340.76
166,179,72,52,2024-11-02 18:45:48,2024-11-02 19:13:48,2024-11-02 19:03:48,DELIVERED,7.16,261.92
167,182,69,109,2024-05-30 11:35:55,2024-05-30 12:20:55,2024-05-30 12:20:55,DELIVERED,5.68,485.38
168,171,51,111,2024-08-04 15:27:15,2024-08-04 16:02:15,2024-08-04 16:09:15,DELIVERED,6.22,446.7
169,110,108,76,2024-03-05 11:36:00,2024-03-05 12:29:00,,CANCELLED,7.59,341.75
170,5,2,75,2024-06-26 23:31:40,2024-06-27 00:01:40,2024-06-27 00:31:40,DELIVERED,7.57,80.0
171,106,110,71,2024-04-14 19:32:26,2024-04-14 20:19:26,2024-04-14 20:30:26,DELIVERED,2.8,570.56
172,151,10,119,2024-02-21 14:01:39,2024-02-21 14:50:39,2024-02-21 15:13:39,DELIVERED,7.45,138.26
173,162,111,131,2024-12-20 19:33:58,2024-12-20 20:16:58,2024-12-20 20:31:58,DELIVERED,3.42,367.89
174,22,15,56,2024-04-09 17:14:05,2024-04-09 17:39:05,2024-04-09 18:07:05,DELIVERED,3.0,206.72
175,166,12,47,2024-03-12 01:01:33,2024-03-12 01:47:33,2024-03-12 01:59:33,DELIVERED,2.92,190.13
176,51,61,34,2024-02-11 10:33:52,2024-02-11 11:02:52,2024-02-11 11:24:52,DELIVERED,3.87,120.9
177,207,26,75,2024-02-23 18:21:57,2024-02-23 19:15:57,2024-02-23 19:32:57,DELIVERED,4.07,457.38
178,202,68,108,2024-01-16 20:43:07,2024-01-16 21:29:07,,PICKED,4.7,125.67
179,33,19,32,2024-09-05 08:53:10,2024-09-05 09:31:10,,PICKED,5.97,301.31
180,40,5,21,2024-06-14 13:04:44,2024-06-14 13:48:44,2024-06-14 14:16:44,DELIVERED,4.85,557.89
181,112,58,41,2024-10-11 08:48:53,2024-10-11 09:30:53,,ACCEPTED,5.21,354.58
182,183,59,85,2025-01-23 00:07:04,2025-01-23 00:45:04,,PLACED,6.23,120.98
183,55,62,101,2024-01-28 06:40:54,2024-01-28 07:05:54,2024-01-28 07:12:54,DELIVERED,4.91,516.06
184,99,118,126,2024-10-22 09:07:49,2024-10-22 09:52:49,2024-10-22 09:43:49,DELIVERED,4.24,278.19
185,95,118,122,2024-02-14 01:07:59,2024-02-14 01:54:59,2024-02-14 02:19:59,DELIVERED,4.63,271.77
186,144,37,134,2024-07-11 12:04:00,2024-07-11 12:33:00,2024-07-11 12:23:00,DELIVERED,3.44,314.94
187,14,49,2,2025-01-30 05:33:30,2025-01-30 06:12:30,2025-01-30 06:34:30,DELIVERED,2.84,300.26
188,173,28,131,2024-11-25 10:46:02,2024-11-25 11:21:02,2024-11-25 11:15:02,DELIVERED,4.7,390.47
189,40,6,41,2024-10-12 21:11:08,2024-10-12 22:04:08,,PLACED,4.46,231.04
190,183,41,74,2024-07-02 07:15:10,2024-07-02 07:48:10,,PICKED,7.16,333.85
191,27,28,85,2024-12-09 13:44:58,2024-12-09 14:28:58,2024-12-09 14:41:58,DELIVERED,2.8,193.57
192,92,58,37,2024-10-12 10:07:42,2024-10-12 10:55:42,2024-10-12 11:16:42,DELIVERED,4.61,420.59
193,187,59,39,2024-04-15 07:10:15,2024-04-15 07:44:15,2024-04-15 07:35:15,DELIVERED,1.31,319.96
194,36,29,114,2024-01-19 07:59:54,2024-01-19 08:44:54,2024-01-19 09:16:54,DELIVERED,4.15,562.73
195,95,118,96,2024-07-05 06:16:43,2024-07-05 07:07:43,2024-07-05 07:24:43,DELIVERED,6.44,299.04
196,193,102,52,2024-10-03 17:42:56,2024-10-03 18:29:56,2024-10-03 18:26:56,DELIVERED,3.44,260.31
197,61,28,34,2024-01-07 04:01:42,2024-01-07 04:33:42,2024-01-07 04:26:42,DELIVERED,4.02,534.91
198,70,114,111,2024-07-20 21:56:24,2024-07-20 22:45:24,,PICKED,4.28,237.91
199,94,27,52,2024-07-01 04:59:17,2024-07-01 05:27:17,2024-07-01 05:36:17,DELIVERED,4.6,437.1
200,170,84,100,2024-08-07 06:15:59,2024-08-07 06:53:59,2024-08-07 06:54:59,DELIVERED,3.43,193.63
201,73,56,107,2024-02-25 22:40:02,2024-02-25 23:32:02,,PICKED,2.45,481.92
202,129,114,77,2024-04-14 17:12:51,2024-04-14 17:45:51,,PICKED,4.8,191.17
203,219,111,23,2024-08-26 08:42:02,2024-08-26 09:15:02,2024-08-26 09:05:02,DELIVERED,6.77,216.27
204,50,97,6,2024-09-13 17:31:11,2024-09-13 18:02:11,2024-09-13 18:10:11,DELIVERED,4.58,80.0
205,165,1,58,2024-04-03 07:20:54,2024-04-03 08:07:54,2024-04-03 07:57:54,DELIVERED,5.37,258.8
206,158,111,124,2024-10-28 06:29:32,2024-10-28 07:21:32,,CANCELLED,3.94,248.91
207,10,114,54,2024-04-09 04:18:59,2024-04-09 04:54:59,,PICKED,5.7,425.06
208,219,119,73,2024-01-23 04:21:19,2024-01-23 05:01:19,,PLACED,4.22,381.26
209,36,70,84,2024-06-20 12:30:29,2024-06-20 12:56:29,,PICKED,1.6,599.69
210,21,109,136,2024-07-06 10:24:41,2024-07-06 11:14:41,,PICKED,2.77,569.13
211,125,43,100,2024-03-04 07:13:21,2024-03-04 07:57:21,,PICKED,6.39,362.97
212,64,72,105,2024-05-17 17:12:10,2024-05-17 18:06:10,2024-05-17 18:05:10,DELIVERED,6.56,543.63
213,113,14,59,2024-09-16 12:23:51,2024-09-16 12:51:51,2024-09-16 12:44:51,DELIVERED,0.54,211.25
214,15,109,37,2024-02-14 07:57:05,2024-02-14 08:32:05,,PLACED,3.37,205.86
215,32,71,66,2024-10-12 22:00:38,2024-10-12 22:55:38,,PLACED,5.13,288.06
216,158,38,57,2024-07-21 19:56:47,2024-07-21 20:26:47,2024-07-21 20:54:47,DELIVERED,2.57,510.65
217,130,91,133,2024-07-04 18:47:23,2024-07-04 19:41:23,2024-07-04 20:05:23,DELIVERED,4.04,394.15
218,36,46,86,2024-08-02 16:21:47,2024-08-02 16:49:47,,PLACED,7.7,609.08
219,127,34,103,2024-10-09 09:17:34,2024-10-09 09:52:34,2024-10-09 09:45:34,DELIVERED,3.15,629.95
220,90,117,106,2024-03-26 19:57:42,2024-03-26 20:31:42,2024-03-26 20:24:42,DELIVERED,3.67,80.0
221,92,58,122,2024-08-12 15:53:11,2024-08-12 16:38:11,2024-08-12 16:50:11,DELIVERED,3.19,237.23
222,148,30,57,2024-08-18 20:26:15,2024-08-18 21:02:15,2024-08-18 21:10:15,DELIVERED,6.36,176.43
223,22,4,112,2024-03-24 03:23:02,2024-03-24 04:01:02,,PICKED,3.81,378.75
224,108,108,140,2024-11-12 12:54:30,2024-11-12 13:35:30,2024-11-12 13:53:30,DELIVERED,4.92,138.69
225,29,15,138,2024-11-26 09:42:34,2024-11-26 10:37:34,,PLACED,6.48,571.82
226,28,6,27,2024-11-26 14:03:45,2024-11-26 14:54:45,2024-11-26 15:06:45,DELIVERED,3.02,80.0
227,56,27,4,2025-01-28 18:57:24,2025-01-28 19:27:24,2025-01-28 19:24:24,DELIVERED,7.97,106.68
228,96,61,75,2024-02-29 22:19:55,2024-02-29 23:12:55,,PICKED,7.54,411.89
229,1,6,62,2024-04-05 06:02:41,2024-04-05 06:36:41,,PICKED,7.78,80.0
230,146,11,14,2024-06-11 14:48:01,2024-06-11 15:30:01,,ACCEPTED,3.66,295.5
231,210,112,64,2024-08-20 05:15:41,2024-08-20 05:46:41,2024-08-20 05:50:41,DELIVERED,3.45,179.66
232,141,78,57,2024-10-24 02:37:33,2024-10-24 03:26:33,2024-10-24 03:21:33,DELIVERED,3.03,267.13
233,13,81,91,2024-06-05 07:19:03,2024-06-05 07:49:03,2024-06-05 07:50:03,DELIVERED,7.14,80.0
234,67,109,74,2024-02-18 18:17:29,2024-02-18 18:55:29,,PLACED,4.01,241.79
235,15,102,85,2024-07-26 05:02:16,2024-07-26 05:39:16,2024-07-26 06:11:16,DELIVERED,3.8,542.84
236,57,31,13,2024-03-25 23:27:22,2024-03-26 00:02:22,,ACCEPTED,3.87,255.92
237,214,100,58,2024-05-02 03:20:59,2024-05-02 04:10:59,,PICKED,4.27,563.58
238,201,91,123,2024-08-03 12:27:55,2024-08-03 13:12:55,2024-08-03 13:21:55,DELIVERED,1.89,406.0
239,151,42,78,2024-09-20 11:56:09,2024-09-20 12:48:09,,PICKED,3.52,432.66
240,143,6,68,2024-04-14 14:55:09,2024-04-14 15:29:09,2024-04-14 15:40:09,DELIVERED,4.64,80.0
241,106,112,99,2024-08-20 17:02:20,2024-08-20 17:28:20,2024-08-20 17:52:20,DELIVERED,4.7,702.64
242,188,41,7,2024-09-28 11:28:18,2024-09-28 12:03:18,,PLACED,3.5,630.83
243,213,47,120,2024-02-07 20:55:04,2024-02-07 21:46:04,2024-02-07 21:53:04,DELIVERED,4.97,233.29
244,51,120,74,2024-04-17 17:34:55,2024-04-17 18:03:55,,PLACED,5.12,93.62
245,28,40,61,2024-11-17 20:32:55,2024-11-17 20:59:55,2024-11-17 20:51:55,DELIVERED,3.42,357.92
