customer_id,customer_name,city,zone,signup_date
56,Customer_056,Mumbai,North,2023-07-31
57,Customer_057,Bengaluru,East,2025-01-08
58,Customer_058,Chennai,West,2024-10-08
59,Customer_059,Hyderabad,Central,2022-12-07
60,Customer_060,Bengaluru,South,2024-02-13
61,Customer_061,Hyderabad,Central,2022-04-05
62,Customer_062,Pune,North,2024-03-04
63,Customer_063,Nashik,North,2024-03-25
64,Customer_064,Bengaluru,South,2023-06-02
65,Customer_065,Chennai,North,2023-05-17
66,Customer_066,Nagpur,South,2023-09-26
67,Customer_067,Delhi,Central,2025-01-30
68,Customer_068,Nashik,Central,2022-07-21
69,Customer_069,Pune,Central,2023-10-26
70,Customer_070,Delhi,East,2024-12-12
71,Customer_071,Hyderabad,North,2023-10-30
72,Customer_072,Hyderabad,East,2022-05-14
73,Customer_073,Chennai,West,2022-08-09
74,Customer_074,Mumbai,North,2024-07-06
75,Customer_075,Pune,West,2024-08-22
76,Customer_076,Nagpur,West,2022-05-25
77,Customer_077,Hyderabad,North,2022-04-10
78,Customer_078,Nagpur,North,2023-05-21
79,Customer_079,Delhi,Central,2024-04-08
80,Customer_080,Nagpur,West,2023-04-30
81,Customer_081,Nagpur,West,2023-11-02
82,Customer_082,Nashik,South,2022-06-24
83,Customer_083,Pune,West,2022-12-20
84,Customer_084,Nashik,East,2023-03-19
85,Customer_085,Nashik,Central,2023-06-21
86,Customer_086,Hyderabad,West,2024-10-18
87,Customer_087,Nagpur,East,2024-02-22
88,Customer_088,Pune,South,2023-10-03
89,Customer_089,Hyderabad,East,2024-03-12
90,Customer_090,Bengaluru,North,2025-02-07
91,Customer_091,Bengaluru,North,2024-12-05
92,Customer_092,Delhi,Central,2024-02-08
93,Customer_093,Nashik,North,2022-12-07
94,Customer_094,Nagpur,South,2023-11-18
95,Customer_095,Chennai,Central,2023-01-22
96,Customer_096,Delhi,North,2022-02-28
97,Customer_097,Chennai,Central,2023-06-05
98,Customer_098,Bengaluru,Central,2023-02-14
99,Customer_099,Hyderabad,Central,2023-07-23
100,Customer_100,Nagpur,South,2024-03-15
101,Customer_101,Nashik,West,2024-06-13
102,Customer_102,Nashik,Central,2023-07-29
103,Customer_103,Bengaluru,West,2023-07-12
104,Customer_104,Mumbai,South,2023-03-17
105,Customer_105,Pune,East,2024-01-24
106,Customer_106,Pune,North,2024-10-23
107,Customer_107,Pune,West,2024-06-22
108,Customer_108,Nashik,South,2022-01-16
109,Customer_109,Bengaluru,North,2023-09-25
110,Customer_110,Hyderabad,West,2024-01-29
111,Customer_111,Pune,East,2022-12-07
112,Customer_112,Bengaluru,Central,2024-06-04
113,Customer_113,Pune,East,2023-01-20
114,Customer_114,Nagpur,West,2025-02-04
115,Customer_115,Hyderabad,South,2025-03-23
116,Customer_116,Nashik,North,2025-04-07
117,Customer_117,Mumbai,North,2024-06-11
118,Customer_118,Hyderabad,South,2022-05-03
119,Customer_119,Nashik,Central,2025-01-01
120,Customer_120,Nashik,West,2023-11-24
121,Customer_121,Bengaluru,East,2022-11-11
122,Customer_122,Chennai,East,2023-09-03
123,Customer_123,Pune,North,2022-05-19
124,Customer_124,Bengaluru,Central,2022-07-21
125,Customer_125,Hyderabad,East,2023-07-07
126,Customer_126,Chennai,North,2022-11-28
127,Customer_127,Pune,Central,2024-10-10
128,Customer_128,Delhi,West,2022-11-20
129,Customer_129,Pune,North,2023-04-22
130,Customer_130,Chennai,Central,2023-05-28
131,Customer_131,Nagpur,South,2023-02-01
132,Customer_132,Nagpur,North,2023-10-27
133,Customer_133,Hyderabad,South,2024-10-26
134,Customer_134,Pune,East,2024-12-26
135,Customer_135,Bengaluru,North,2024-01-25
136,Customer_136,Nashik,West,2022-11-28
137,Customer_137,Nashik,North,2023-07-27
138,Customer_138,Pune,South,2024-12-28
139,Customer_139,Mumbai,East,2024-03-10
140,Customer_140,Hyderabad,West,2024-01-22
141,Customer_141,Pune,East,2022-12-22
142,Customer_142,Delhi,Central,2022-02-21
143,Customer_143,Nagpur,South,2023-01-09
144,Customer_144,Nagpur,South,2023-04-09
145,Customer_145,Delhi,West,2024-01-13
146,Customer_146,Mumbai,South,2024-04-10
147,Customer_147,Bengaluru,East,2025-01-10
148,Customer_148,Chennai,Central,2022-09-26
149,Customer_149,Pune,West,2025-04-03
150,Customer_150,Pune,South,2022-08-08
151,Customer_151,Hyderabad,Central,2024-12-07
152,Customer_152,Chennai,Central,2023-08-30
153,Customer_153,Mumbai,South,2023-05-07
154,Customer_154,Nagpur,Central,2024-08-09
155,Customer_155,Nashik,South,2023-03-11
156,Customer_156,Delhi,South,2024-05-30
157,Customer_157,Nagpur,South,2024-09-29
158,Customer_158,Nashik,East,2022-03-24
159,Customer_159,Nashik,South,2022-03-14
160,Customer_160,Chennai,Central,2024-06-20
161,Customer_161,Delhi,South,2023-03-25
162,Customer_162,Bengaluru,West,2022-10-19
163,Customer_163,Nagpur,North,2022-01-08
164,Customer_164,Delhi,Central,2024-07-26
165,Customer_165,Hyderabad,West,2023-04-11
166,Customer_166,Nashik,North,2022-02-25
167,Customer_167,Chennai,South,2024-10-20
168,Customer_168,Chennai,West,2023-12-27
169,Customer_169,Nagpur,Central,2024-07-06
170,Customer_170,Mumbai,East,2022-08-03
171,Customer_171,Chennai,East,2024-07-28
172,Customer_172,Mumbai,South,2023-11-14
173,Customer_173,Mumbai,East,2023-05-25
174,Customer_174,Bengaluru,South,2023-06-27
175,Customer_175,Mumbai,Central,2023-08-29
176,Customer_176,Hyderabad,Central,2023-02-28
177,Customer_177,Bengaluru,West,2024-10-11
178,Customer_178,Hyderabad,North,2023-11-18
179,Customer_179,Chennai,North,2023-01-31
180,Customer_180,Bengaluru,East,2022-04-29
181,Customer_181,Delhi,West,2022-05-04
182,Customer_182,Mumbai,Central,2024-11-12
183,Customer_183,Pune,South,2024-06-27
184,Customer_184,Nashik,Central,2025-01-05
185,Customer_185,Chennai,West,2022-02-13
186,Customer_186,Chennai,South,2023-12-11
187,Customer_187,Nagpur,West,2024-07-24
188,Customer_188,Hyderabad,West,2023-04-22
189,Customer_189,Pune,West,2023-03-30
190,Customer_190,Mumbai,East,2024-09-30
191,Customer_191,Bengaluru,South,2022-01-28
192,Customer_192,Delhi,East,2023-11-04
193,Customer_193,Delhi,South,2022-04-09
194,Customer_194,Nashik,South,2023-02-18
195,Customer_195,Bengaluru,North,2022-11-20
196,Customer_196,Bengaluru,South,2025-02-02
197,Customer_197,Mumbai,South,2024-12-30
198,Customer_198,Mumbai,West,2022-09-08
199,Customer_199,Mumbai,South,2023-03-03
200,Customer_200,Pune,North,2023-05-12
201,Customer_201,Hyderabad,Central,2025-03-09
202,Customer_202,Mumbai,South,2023-02-22
203,Customer_203,Nagpur,Central,2024-12-01
204,Customer_204,Pune,West,2023-09-12
205,Customer_205,Chennai,East,2024-05-05
206,Customer_206,Pune,Central,2024-10-17
207,Customer_207,Pune,West,2025-04-02
208,Customer_208,Nashik,South,2022-03-19
209,Customer_209,Mumbai,East,2024-08-24
210,Customer_210,Delhi,Central,2022-12-02
211,Customer_211,Delhi,East,2024-01-30
212,Customer_212,Nashik,East,2024-03-08
213,Customer_213,Delhi,North,2022-08-25
214,Customer_214,Delhi,Central,2022-07-05
215,Customer_215,Nashik,East,2022-10-10
216,Customer_216,Bengaluru,East,2023-09-24
217,Customer_217,Nagpur,North,2023-07-07
218,Customer_218,Nashik,South,2022-04-11
219,Customer_219,Chennai,West,2024-11-15
220,Customer_220,Mumbai,West,2023-03-23
21,Customer_021,Delhi,East,2024-07-13
