driver_id,driver_name,city,vehicle_type,join_date
48,Driver_048,Mumbai,BIKE,2025-02-08
49,Driver_049,Delhi,SCOOTER,2022-06-02
50,Driver_050,Chennai,BIKE,2025-01-29
51,Driver_051,Nagpur,SCOOTER,2022-08-30
52,Driver_052,Pune,BIKE,2022-09-05
53,Driver_053,Chennai,BIKE,2022-09-16
54,Driver_054,Nagpur,BIKE,2021-06-21
55,Driver_055,Nashik,SCOOTER,2024-12-28
56,Driver_056,Bengaluru,BIKE,2025-01-13
57,Driver_057,Nashik,BIKE,2023-02-19
58,Driver_058,Nashik,BIKE,2025-01-03
59,Driver_059,Nashik,BIKE,2024-01-29
60,Driver_060,Mumbai,CAR,2021-01-19
61,Driver_061,Pune,SCOOTER,2023-12-04
62,Driver_062,Bengaluru,CAR,2024-07-25
63,Driver_063,Pune,CAR,2021-05-09
64,Driver_064,Nashik,BIKE,2024-03-21
65,Driver_065,Nagpur,SCOOTER,2024-05-26
66,Driver_066,Nagpur,SCOOTER,2023-09-28
67,Driver_067,Delhi,BIKE,2024-03-04
68,Driver_068,Delhi,CAR,2022-04-06
69,Driver_069,Delhi,BIKE,2021-10-19
70,Driver_070,Bengaluru,SCOOTER,2024-08-31
71,Driver_071,Chennai,CAR,2022-06-20
72,Driver_072,Chennai,SCOOTER,2024-01-06
73,Driver_073,Mumbai,SCOOTER,2023-12-29
74,Driver_074,Pune,BIKE,2024-08-06
75,Driver_075,Hyderabad,BIKE,2023-08-01
76,Driver_076,Chennai,SCOOTER,2022-08-20
77,Driver_077,Hyderabad,CAR,2024-02-04
78,Driver_078,Nashik,SCOOTER,2022-02-04
79,Driver_079,Chennai,SCOOTER,2024-06-15
80,Driver_080,Nashik,CAR,2023-05-11
81,Driver_081,Hyderabad,CAR,2022-06-25
82,Driver_082,Hyderabad,CAR,2022-01-03
83,Driver_083,Bengaluru,BIKE,2025-01-21
84,Driver_084,Bengaluru,SCOOTER,2023-09-13
85,Driver_085,Nagpur,CAR,2024-01-01
86,Driver_086,Delhi,BIKE,2023-10-26
87,Driver_087,Delhi,BIKE,2024-05-24
88,Driver_088,Mumbai,SCOOTER,2024-02-28
89,Driver_089,Mumbai,BIKE,2024-01-07
90,Driver_090,Bengaluru,CAR,2021-01-23
91,Driver_091,Hyderabad,CAR,2023-06-01
92,Driver_092,Nagpur,CAR,2024-10-14
93,Driver_093,Nagpur,SCOOTER,2024-06-19
94,Driver_094,Bengaluru,SCOOTER,2022-01-29
95,Driver_095,Pune,CAR,2022-08-21
96,Driver_096,Nagpur,SCOOTER,2022-02-08
97,Driver_097,Delhi,CAR,2024-07-13
98,Driver_098,Nagpur,SCOOTER,2022-08-03
99,Driver_099,Hyderabad,BIKE,2024-10-06
100,Driver_100,Chennai,SCOOTER,2023-02-06
101,Driver_101,Chennai,CAR,2023-05-27
102,Driver_102,Pune,SCOOTER,2024-10-22
103,Driver_103,Bengaluru,BIKE,2022-01-16
104,Driver_104,Mumbai,SCOOTER,2024-09-03
105,Driver_105,Hyderabad,BIKE,2024-04-05
106,Driver_106,Bengaluru,SCOOTER,2024-05-03
107,Driver_107,Mumbai,BIKE,2021-04-16
108,Driver_108,Nashik,CAR,2024-05-15
109,Driver_109,Bengaluru,BIKE,2023-03-24
110,Driver_110,Nagpur,SCOOTER,2023-08-08
111,Driver_111,Pune,BIKE,2021-10-27
112,Driver_112,Bengaluru,CAR,2023-02-18
113,Driver_113,Nashik,BIKE,2023-04-07
114,Driver_114,Nagpur,SCOOTER,2021-08-31
115,Driver_115,Hyderabad,CAR,2023-11-19
116,Driver_116,Bengaluru,BIKE,2021-08-21
117,Driver_117,Chennai,BIKE,2021-08-24
118,Driver_118,Nagpur,CAR,2022-11-22
119,Driver_119,Nagpur,CAR,2023-09-05
120,Driver_120,Delhi,BIKE,2025-01-29
121,Driver_121,Nagpur,BIKE,2023-12-10
122,Driver_122,Delhi,BIKE,2023-01-03
123,Driver_123,Nashik,BIKE,2022-10-16
124,Driver_124,Mumbai,SCOOTER,2023-03-27
125,Driver_125,Nagpur,CAR,2023-07-14
126,Driver_126,Nashik,SCOOTER,2024-06-19
127,Driver_127,Pune,SCOOTER,2022-05-14
128,Driver_128,Pune,CAR,2024-12-20
129,Driver_129,Delhi,BIKE,2023-08-26
130,Driver_130,Delhi,SCOOTER,2024-03-21
131,Driver_131,Nagpur,BIKE,2023-06-10
132,Driver_132,Nagpur,SCOOTER,2022-01-24
133,Driver_133,Chennai,SCOOTER,2022-08-06
134,Driver_134,Delhi,CAR,2023-07-03
135,Driver_135,Pune,CAR,2021-07-04
136,Driver_136,Delhi,BIKE,2024-09-22
137,Driver_137,Mumbai,SCOOTER,2024-08-31
138,Driver_138,Nashik,SCOOTER,2023-05-18
139,Driver_139,Chennai,SCOOTER,2022-04-11
140,Driver_140,Delhi,BIKE,2021-10-13
13,Driver_013,Chennai,CAR,2021-10-26
