order_id,customer_id,order_date
190,50,2024-08-21
191,90,2023-01-21
192,110,2024-08-12
193,49,2024-05-03
194,1,2023-12-27
195,39,2024-02-04
196,110,2024-03-05
197,69,2024-07-13
198,103,2024-09-09
199,115,2023-08-14
200,63,2023-08-13
201,35,2024-03-22
202,63,2023-01-30
203,50,2023-12-11
204,86,2024-11-26
205,103,2024-02-19
206,93,2023-06-19
207,108,2024-04-23
208,118,2023-05-11
209,80,2024-06-30
210,4,2024-02-08
211,76,2024-07-31
212,85,2023-01-28
213,11,2024-10-20
214,55,2023-05-19
215,111,2024-04-17
216,24,2023-02-21
217,34,2024-01-24
218,42,2023-08-05
219,59,2023-12-01
220,44,2024-01-24
221,36,2024-03-07
222,33,2023-03-25
223,61,2023-01-20
224,96,2024-07-06
225,7,2023-12-25
226,29,2024-10-27
227,9,2024-10-29
228,6,2023-02-01
229,32,2023-07-24
230,108,2023-01-21
231,80,2023-06-06
232,31,2023-05-10
233,61,2024-11-16
234,15,2024-07-31
235,28,2024-04-21
236,90,2023-09-20
237,99,2024-01-13
238,22,2024-09-12
239,78,2025-01-05
240,15,2023-06-17
241,40,2023-04-21
242,75,2023-01-27
243,119,2023-11-16
244,74,2024-11-24
245,117,2024-01-20
246,51,2025-01-02
247,26,2023-03-19
248,76,2024-12-08
249,107,2024-10-04
250,32,2023-04-15
251,90,2023-11-05
252,109,2024-12-01
253,77,2023-05-04
254,102,2024-08-02
255,101,2023-02-12
256,45,2024-06-29
257,55,2024-11-08
258,48,2023-03-12
259,65,2024-10-25
260,44,2023-01-13
261,109,2024-03-06
262,106,2024-05-16
263,14,2024-03-19
264,47,2024-10-12
265,115,2024-04-15
266,91,2023-06-06
267,56,2023-06-30
268,94,2024-06-18
269,84,2023-10-04
270,79,2024-07-05
271,100,2024-05-10
272,60,2024-03-22
273,106,2024-08-29
274,35,2023-11-27
275,110,2023-09-09
276,107,2023-03-30
277,36,2024-04-06
278,32,2024-04-20
279,73,2024-09-16
280,86,2024-01-24
281,44,2023-01-30
282,64,2023-11-29
283,24,2024-05-14
284,28,2023-12-30
285,103,2023-09-22
286,44,2023-10-14
287,113,2024-09-02
288,90,2023-10-10
289,72,2023-01-11
290,67,2023-07-15
291,11,2023-09-05
292,93,2024-02-21
293,63,2024-07-22
294,98,2023-09-04
295,89,2024-05-02
296,83,2024-12-29
297,63,2024-04-03
298,102,2023-01-18
299,12,2023-10-29
300,29,2024-02-19
301,89,2023-09-07
302,40,2024-11-10
303,75,2024-01-13
304,61,2024-07-20
305,68,2023-12-19
306,55,2024-07-17
307,43,2023-12-27
308,90,2024-04-09
309,35,2023-11-10
310,33,2023-08-25
311,16,2025-01-08
312,25,2023-11-20
313,16,2024-07-02
314,98,2024-12-07
315,24,2023-07-16
316,28,2024-05-10
317,36,2025-01-11
318,76,2024-06-21
319,77,2023-10-17
320,13,2023-07-18
321,38,2023-08-21
322,47,2023-07-03
323,39,2023-01-15
324,91,2024-06-30
325,17,2023-10-08
326,6,2023-02-25
327,71,2023-10-27
328,90,2023-05-10
329,82,2024-05-17
330,14,2023-01-13
331,74,2023-10-19
332,61,2024-05-05
333,57,2023-12-15
334,24,2023-02-22
335,33,2024-05-04
336,15,2023-03-08
337,52,2024-05-18
338,10,2024-08-13
339,81,2024-12-03
340,7,2023-06-05
341,20,2024-07-30
342,39,2023-03-29
343,32,2023-05-02
344,72,2024-03-02
345,78,2024-09-02
346,102,2024-09-25
347,29,2024-06-19
348,49,2024-04-06
349,117,2024-03-29
350,39,2024-08-25
351,55,2023-11-09
352,73,2024-09-27
353,8,2024-09-16
354,95,2023-04-12
355,98,2023-08-01
356,81,2023-08-05
357,34,2024-11-07
358,11,2023-06-10
359,31,2023-06-27
360,71,2023-03-18
361,21,2023-01-03
362,53,2024-04-06
363,89,2024-08-31
364,61,2023-10-26
365,5,2023-08-26
366,37,2024-12-24
367,37,2024-12-20
368,111,2024-04-09
369,10,2024-12-04
370,30,2023-09-28
371,101,2024-10-02
372,76,2024-11-08
373,103,2023-07-22
374,55,2023-04-28
375,70,2023-08-19
376,83,2023-06-02
377,117,2023-09-30
378,106,2023-05-26
379,10,2023-03-03
380,22,2023-11-11
381,77,2024-08-05
382,118,2023-10-23
383,57,2023-05-08
384,60,2024-12-06
385,39,2024-12-17
386,52,2023-10-06
387,65,2024-07-06
388,64,2024-03-24
389,11,2024-09-04
390,6,2024-03-18
391,95,2023-11-27
392,78,2023-09-14
393,4,2023-04-04
394,30,2024-11-21
395,108,2024-08-12
396,76,2023-01-22
397,98,2024-11-19
398,106,2023-10-03
399,74,2023-02-11
400,98,2023-06-29
401,61,2024-06-15
402,84,2024-03-28
403,118,2023-10-12
404,24,2024-08-22
405,56,2024-10-12
406,105,2024-05-18
407,12,2024-04-26
408,45,2024-02-23
409,43,2023-11-25
410,86,2023-04-18
411,110,2023-06-14
412,43,2024-02-26
413,89,2024-05-22
414,37,2024-11-09
415,52,2024-07-17
416,5,2024-04-10
417,12,2023-11-19
418,33,2023-11-28
419,15,2024-02-18
420,111,2024-06-10
421,106,2023-01-02
422,85,2024-07-09
423,60,2024-02-28
424,7,2023-07-12
425,67,2024-01-06
426,80,2024-05-25
427,81,2024-03-28
428,98,2023-02-22
429,27,2023-10-01
430,71,2023-05-15
431,119,2023-10-22
432,57,2024-12-16
433,63,2023-05-05
434,4,2024-10-07
435,78,2023-09-03
436,91,2023-06-12
437,40,2024-07-18
438,2,2024-07-19
439,53,2023-04-06
440,29,2023-04-27
441,60,2023-05-01
442,83,2023-06-07
443,64,2025-01-03
444,38,2024-06-05
445,91,2023-10-07
446,54,2024-05-09
447,61,2023-09-07
448,59,2024-07-18
449,19,2024-01-28
450,25,2024-09-05
451,66,2023-05-20
452,111,2023-03-13
453,36,2024-02-29
454,44,2024-06-03
455,35,2023-01-03
456,37,2025-01-13
457,39,2024-08-24
458,75,2024-11-06
459,63,2023-06-02
460,58,2024-07-05
461,62,2023-12-20
462,43,2024-07-19
463,98,2024-07-10
464,49,2024-04-11
465,120,2023-11-26
466,112,2023-07-13
467,90,2023-09-02
468,74,2024-01-28
469,30,2024-02-25
470,6,2023-11-22
471,96,2024-04-29
472,91,2024-01-26
473,50,2024-11-10
474,102,2024-10-29
475,20,2024-05-22
476,5,2023-05-10
477,65,2024-08-27
478,43,2023-04-13
479,112,2024-03-26
480,13,2024-06-22
481,117,2024-04-12
482,2,2025-01-09
483,19,2024-02-24
484,112,2024-11-01
485,20,2023-03-18
486,61,2023-09-29
487,44,2024-09-30
488,89,2024-02-12
489,84,2023-03-24
490,110,2023-12-03
491,110,2024-11-21
492,110,2024-06-30
493,49,2023-11-21
494,81,2025-01-05
495,114,2024-05-14
496,112,2024-07-08
497,5,2024-09-24
498,9,2023-08-29
499,81,2024-12-01
500,118,2023-10-22
501,30,2023-04-03
502,56,2023-04-11
503,98,2024-10-10
504,91,2023-04-13
505,57,2023-06-20
506,89,2023-11-03
507,116,2023-01-30
508,6,2023-11-29
509,102,2023-02-27
510,38,2024-01-03
511,48,2024-03-17
512,19,2023-09-08
513,68,2024-02-26
514,73,2024-11-29
515,102,2023-07-04
516,22,2023-06-29
517,11,2024-09-16
518,112,2024-01-27
519,80,2024-11-30
520,31,2024-05-24
521,117,2024-08-20
522,19,2023-08-26
523,60,2024-10-15
524,33,2024-04-15
525,33,2024-11-13
526,2,2024-04-21
527,116,2023-10-22
528,87,2024-07-13
529,21,2023-03-17
530,57,2023-12-20
531,76,2023-11-03
532,82,2024-03-10
533,89,2023-09-14
534,59,2023-11-06
535,26,2024-01-29
536,110,2024-05-09
537,14,2023-08-31
538,49,2024-08-08
539,46,2024-08-11
540,38,2024-12-17
541,38,2023-01-23
542,107,2024-11-05
543,51,2023-10-09
544,2,2024-08-02
545,111,2024-12-03
546,100,2023-02-20
547,117,2024-09-12
548,96,2024-05-23
549,107,2023-10-21
550,100,2023-08-24
551,78,2023-12-27
552,29,2024-10-13
553,25,2024-09-27
554,33,2024-11-25
555,97,2025-01-08
556,99,2024-11-06
557,88,2023-05-21
558,81,2023-04-10
559,116,2024-10-04
560,83,2023-02-10
561,40,2024-03-27
562,5,2024-08-16
563,47,2023-05-15
564,12,2023-10-30
565,42,2024-03-01
566,23,2023-07-25
567,17,2024-07-06
568,113,2024-01-10
569,68,2024-05-28
570,117,2023-10-07
571,107,2023-06-18
572,33,2024-05-08
573,104,2023-10-30
574,96,2023-12-13
575,103,2023-04-28
576,60,2023-03-19
577,19,2023-08-20
578,111,2024-11-23
579,93,2024-11-21
580,51,2024-07-24
581,47,2023-04-03
582,102,2024-02-09
583,2,2023-09-28
584,69,2023-05-07
585,59,2024-01-13
586,87,2024-11-19
587,34,2024-08-21
588,49,2024-10-15
589,48,2023-04-21
590,87,2023-08-28
591,61,2023-01-26
592,80,2024-07-28
593,42,2024-09-16
594,29,2024-10-25
595,9,2024-10-12
596,106,2024-04-20
597,117,2024-12-18
598,39,2024-10-26
599,53,2023-04-30
600,18,2023-02-16
601,5,2023-11-08
602,64,2023-04-29
603,13,2023-08-29
604,114,2024-07-04
605,18,2024-02-02
606,59,2024-01-15
607,86,2024-12-14
608,70,2024-03-05
609,76,2025-01-14
610,20,2024-02-29
611,84,2023-04-12
612,107,2024-05-16
613,79,2024-02-22
614,36,2023-02-03
615,89,2024-01-15
616,28,2024-03-30
617,57,2023-08-30
618,110,2024-01-07
619,13,2024-12-03
620,48,2024-07-11
621,116,2024-10-22
622,46,2023-03-04
623,51,2023-10-10
624,25,2023-05-06
625,109,2024-04-10
626,12,2024-11-09
627,28,2024-10-19
628,82,2024-09-03
629,3,2023-02-21
630,101,2023-12-08
631,32,2023-05-09
632,101,2024-08-01
633,27,2023-03-12
634,107,2024-07-21
635,27,2024-08-23
636,28,2023-08-27
637,43,2023-06-01
638,101,2024-09-02
639,1,2023-10-11
640,110,2023-05-29
641,17,2024-07-07
642,33,2023-06-28
643,15,2024-11-07
644,111,2023-01-27
645,17,2023-01-16
646,46,2023-09-01
647,76,2023-11-28
648,3,2023-06-28
649,34,2023-02-23
650,17,2024-03-07
