event_id,campaign_id,event_type,revenue,city,event_date
63,31,lead,13.82,Delhi,2026-01-20
64,33,lead,111.7,Mumbai,2026-01-20
65,40,lead,75.11,Delhi,2026-01-26
66,29,purchase,87.81,Mumbai,2026-01-19
67,11,purchase,177.58,Delhi,2026-01-07
68,21,click,239.56,Pune,2026-01-08
69,32,impression,425.06,Pune,2026-01-25
70,35,impression,47.61,Pune,2026-01-19
71,23,purchase,300.05,Bangalore,2026-01-03
72,7,purchase,10.45,Mumbai,2026-01-18
73,18,impression,333.51,Delhi,2026-01-02
74,30,lead,110.52,Pune,2026-01-12
75,16,lead,1.74,Delhi,2026-01-10
76,17,impression,8.12,Delhi,2026-01-14
77,38,click,134.33,Pune,2026-01-06
78,7,purchase,338.71,Mumbai,2026-01-10
79,35,purchase,346.19,Mumbai,2026-01-14
80,25,lead,252.07,Bangalore,2026-01-15
81,34,click,142.51,Delhi,2026-01-10
82,26,impression,323.95,Pune,2026-01-20
83,30,lead,260.91,Delhi,2026-01-28
84,36,purchase,345.85,Bangalore,2026-01-03
85,26,click,440.22,Mumbai,2026-01-03
86,8,click,267.18,Delhi,2026-01-18
87,28,lead,19.45,Delhi,2026-01-17
88,23,impression,265.92,Pune,2026-01-01
89,10,purchase,357.44,Pune,2026-01-15
90,36,purchase,295.77,Pune,2026-01-19
91,12,impression,231.99,Mumbai,2026-01-22
92,32,click,467.91,Delhi,2026-01-19
93,40,impression,6.14,Mumbai,2026-01-20
94,5,click,380.94,Delhi,2026-01-06
95,36,impression,488.26,Mumbai,2026-01-09
96,13,click,379.17,Pune,2026-01-12
97,3,click,395.5,Pune,2026-01-24
98,11,purchase,322.48,Delhi,2026-01-26
99,17,click,159.79,Pune,2026-01-20
100,1,impression,432.95,Delhi,2026-01-13
101,17,purchase,357.49,Mumbai,2026-01-14
102,32,impression,119.96,Delhi,2026-01-09
103,13,impression,32.95,Mumbai,2026-01-23
104,16,purchase,144.96,Pune,2026-01-21
105,25,lead,246.73,Pune,2026-01-14
106,32,purchase,61.01,Delhi,2026-01-02
107,8,impression,179.88,Delhi,2026-01-18
108,22,purchase,74.17,Mumbai,2026-01-07
109,33,impression,249.85,Mumbai,2026-01-15
110,13,purchase,362.31,Pune,2026-01-18
111,3,click,94.75,Bangalore,2026-01-08
112,28,purchase,372.9,Delhi,2026-01-24
113,4,lead,412.64,Mumbai,2026-01-09
114,11,impression,448.12,Mumbai,2026-01-21
115,25,click,43.25,Pune,2026-01-05
116,22,impression,296.29,Mumbai,2026-01-10
117,12,click,225.15,Bangalore,2026-01-07
118,5,click,35.32,Bangalore,2026-01-14
119,10,purchase,284.07,Pune,2026-01-13
120,1,purchase,153.71,Pune,2026-01-07
121,22,impression,211.41,Bangalore,2026-01-10
122,35,lead,469.94,Mumbai,2026-01-06
123,25,lead,462.28,Pune,2026-01-21
124,3,lead,142.25,Delhi,2026-01-08
125,7,click,314.04,Delhi,2026-01-25
126,17,impression,278.75,Pune,2026-01-24
127,27,lead,295.31,Delhi,2026-01-08
128,31,lead,480.17,Mumbai,2026-01-09
129,26,purchase,282.04,Mumbai,2026-01-25
130,4,purchase,314.38,Delhi,2026-01-07
131,21,purchase,95.72,Bangalore,2026-01-22
132,2,lead,93.52,Mumbai,2026-01-18
133,17,click,190.16,Delhi,2026-01-24
134,1,impression,0.51,Pune,2026-01-21
135,22,lead,234.55,Pune,2026-01-03
136,28,click,400.65,Mumbai,2026-01-24
137,30,purchase,467.64,Bangalore,2026-01-09
138,21,purchase,120.71,Bangalore,2026-01-18
139,40,click,457.43,Mumbai,2026-01-05
140,40,click,342.67,Bangalore,2026-01-14
141,12,click,286.17,Delhi,2026-01-21
142,4,lead,49.18,Pune,2026-01-05
143,30,lead,341.89,Bangalore,2026-01-28
144,24,impression,28.68,Pune,2026-01-16
145,15,impression,14.9,Mumbai,2026-01-28
146,5,click,265.77,Mumbai,2026-01-03
147,39,lead,459.26,Delhi,2026-01-22
148,24,purchase,277.05,Mumbai,2026-01-28
149,4,lead,143.5,Delhi,2026-01-21
150,28,purchase,105.69,Bangalore,2026-01-16
151,17,purchase,300.76,Mumbai,2026-01-17
152,18,impression,269.47,Delhi,2026-01-20
153,24,impression,495.27,Delhi,2026-01-03
154,30,purchase,402.0,Bangalore,2026-01-22
155,31,purchase,341.1,Delhi,2026-01-03
156,8,impression,350.8,Pune,2026-01-22
157,10,purchase,74.57,Bangalore,2026-01-04
158,39,click,381.8,Bangalore,2026-01-21
159,19,lead,183.93,Mumbai,2026-01-24
160,1,impression,442.9,Bangalore,2026-01-05
161,9,click,68.02,Pune,2026-01-19
162,10,click,166.44,Mumbai,2026-01-20
163,4,lead,467.75,Delhi,2026-01-23
164,10,purchase,390.11,Pune,2026-01-18
165,3,lead,235.04,Mumbai,2026-01-27
166,3,click,235.2,Delhi,2026-01-10
167,27,click,387.22,Pune,2026-01-14
168,11,purchase,309.02,Delhi,2026-01-02
169,27,impression,408.26,Mumbai,2026-01-05
170,35,lead,124.4,Delhi,2026-01-28
171,11,lead,379.67,Delhi,2026-01-22
172,27,click,231.78,Pune,2026-01-17
173,7,click,84.78,Bangalore,2026-01-16
174,32,lead,99.22,Pune,2026-01-06
175,15,click,64.32,Bangalore,2026-01-14
176,16,lead,455.57,Delhi,2026-01-04
177,17,lead,232.81,Delhi,2026-01-26
178,10,lead,193.03,Pune,2026-01-09
179,25,lead,284.4,Mumbai,2026-01-10
180,38,purchase,318.11,Mumbai,2026-01-21
181,34,impression,267.08,Bangalore,2026-01-08
182,7,impression,176.4,Bangalore,2026-01-07
183,19,purchase,403.02,Delhi,2026-01-24
184,31,impression,104.72,Delhi,2026-01-16
185,13,impression,59.95,Pune,2026-01-03
186,39,impression,121.09,Bangalore,2026-01-20
187,32,lead,159.3,Bangalore,2026-01-15
188,23,lead,486.13,Delhi,2026-01-20
189,37,impression,62.98,Pune,2026-01-06
190,36,impression,251.95,Mumbai,2026-01-14
191,40,click,149.6,Delhi,2026-01-19
192,19,lead,478.26,Bangalore,2026-01-21
193,3,purchase,66.4,Delhi,2026-01-22
194,8,click,259.54,Bangalore,2026-01-26
195,33,purchase,46.19,Mumbai,2026-01-24
196,4,click,481.15,Delhi,2026-01-04
197,29,click,232.67,Delhi,2026-01-21
198,40,lead,51.77,Delhi,2026-01-26
199,27,impression,246.18,Bangalore,2026-01-03
200,14,impression,174.01,Mumbai,2026-01-14
201,22,click,214.0,Pune,2026-01-09
202,4,purchase,53.36,Mumbai,2026-01-20
203,13,purchase,1.49,Mumbai,2026-01-27
204,25,click,238.04,Bangalore,2026-01-06
205,32,click,322.93,Delhi,2026-01-06
206,28,click,455.53,Pune,2026-01-01
207,31,click,454.05,Pune,2026-01-08
208,19,lead,218.52,Bangalore,2026-01-01
209,30,lead,396.91,Delhi,2026-01-19
210,10,click,22.61,Bangalore,2026-01-19
211,23,impression,275.01,Bangalore,2026-01-22
212,15,lead,15.1,Delhi,2026-01-08
213,24,impression,155.56,Mumbai,2026-01-02
214,38,purchase,168.22,Mumbai,2026-01-04
215,22,impression,222.04,Mumbai,2026-01-06
216,6,click,94.47,Delhi,2026-01-16
217,6,lead,22.01,Bangalore,2026-01-12
218,6,purchase,50.13,Delhi,2026-01-26
219,5,lead,300.5,Pune,2026-01-06
220,22,click,464.93,Mumbai,2026-01-04
221,30,lead,451.9,Pune,2026-01-27
222,38,lead,101.92,Bangalore,2026-01-28
223,33,impression,25.32,Delhi,2026-01-10
224,27,purchase,471.3,Bangalore,2026-01-03
225,27,click,201.86,Delhi,2026-01-15
226,15,purchase,31.52,Pune,2026-01-10
227,27,lead,273.14,Bangalore,2026-01-19
228,35,lead,184.56,Bangalore,2026-01-22
229,3,lead,290.78,Bangalore,2026-01-03
230,18,impression,3.78,Delhi,2026-01-06
231,8,click,14.77,Bangalore,2026-01-20
232,2,impression,180.14,Bangalore,2026-01-18
233,34,click,12.04,Pune,2026-01-13
234,36,purchase,48.54,Bangalore,2026-01-25
235,18,purchase,396.16,Mumbai,2026-01-22
236,20,purchase,479.1,Pune,2026-01-27
237,40,impression,299.64,Mumbai,2026-01-13
238,1,click,448.74,Delhi,2026-01-05
239,32,impression,367.7,Delhi,2026-01-27
240,28,impression,164.11,Bangalore,2026-01-23
241,18,impression,204.69,Bangalore,2026-01-24
242,4,impression,16.75,Bangalore,2026-01-08
243,22,click,52.17,Bangalore,2026-01-15
244,8,purchase,62.81,Pune,2026-01-06
245,22,purchase,205.16,Bangalore,2026-01-17
246,28,click,298.02,Pune,2026-01-24
247,34,click,353.83,Mumbai,2026-01-15
248,31,lead,328.24,Delhi,2026-01-10
249,2,click,45.39,Mumbai,2026-01-24
250,3,click,49.85,Pune,2026-01-26
251,6,lead,274.05,Bangalore,2026-01-09
252,38,purchase,64.0,Delhi,2026-01-25
253,33,lead,477.86,Delhi,2026-01-24
254,9,click,128.69,Mumbai,2026-01-06
255,15,impression,475.02,Bangalore,2026-01-28
256,22,impression,441.22,Pune,2026-01-02
257,26,impression,255.95,Bangalore,2026-01-02
258,38,purchase,427.29,Mumbai,2026-01-22
259,21,purchase,183.8,Pune,2026-01-25
260,25,purchase,231.13,Mumbai,2026-01-05
261,29,purchase,340.29,Pune,2026-01-06
262,1,purchase,459.57,Mumbai,2026-01-05
263,15,purchase,410.1,Mumbai,2026-01-22
264,2,click,365.88,Mumbai,2026-01-12
265,6,lead,319.65,Delhi,2026-01-22
266,4,impression,333.95,Bangalore,2026-01-26
267,5,purchase,229.8,Pune,2026-01-20
268,40,click,431.53,Delhi,2026-01-12
269,4,impression,322.5,Delhi,2026-01-20
270,32,purchase,296.71,Pune,2026-01-25
271,39,click,231.15,Bangalore,2026-01-23
272,1,lead,458.74,Pune,2026-01-19
273,26,lead,137.36,Pune,2026-01-19
274,20,purchase,372.03,Pune,2026-01-20
275,33,purchase,178.45,Pune,2026-01-11
276,40,click,288.25,Delhi,2026-01-08
277,21,impression,261.74,Bangalore,2026-01-23
278,19,lead,244.21,Delhi,2026-01-23
279,35,lead,32.71,Delhi,2026-01-10
280,39,click,433.25,Bangalore,2026-01-02
281,23,click,123.89,Pune,2026-01-27
282,35,click,412.98,Pune,2026-01-20
283,29,purchase,67.22,Delhi,2026-01-17
284,18,impression,490.48,Bangalore,2026-01-27
285,5,impression,129.85,Mumbai,2026-01-06
286,20,purchase,303.56,Delhi,2026-01-28
287,36,click,444.48,Delhi,2026-01-27
288,23,impression,300.16,Pune,2026-01-16
289,7,click,111.87,Pune,2026-01-27
290,9,impression,422.56,Bangalore,2026-01-28
291,29,purchase,13.93,Delhi,2026-01-02
292,34,impression,462.69,Pune,2026-01-11
293,12,purchase,164.63,Mumbai,2026-01-14
294,33,lead,431.79,Delhi,2026-01-12
295,6,purchase,183.42,Mumbai,2026-01-01
296,7,impression,375.81,Bangalore,2026-01-02
297,31,click,453.15,Delhi,2026-01-20
298,25,lead,135.84,Pune,2026-01-08
299,2,click,423.84,Mumbai,2026-01-16
300,38,purchase,206.93,Delhi,2026-01-10
301,13,purchase,51.41,Pune,2026-01-12
302,39,impression,121.9,Mumbai,2026-01-08
303,21,click,122.29,Mumbai,2026-01-17
304,32,impression,461.71,Bangalore,2026-01-02
305,24,click,33.5,Delhi,2026-01-22
306,3,impression,440.2,Delhi,2026-01-28
307,6,lead,23.17,Bangalore,2026-01-08
308,40,click,48.23,Delhi,2026-01-02
309,9,purchase,49.67,Delhi,2026-01-15
310,8,click,288.13,Delhi,2026-01-01
311,35,purchase,268.3,Bangalore,2026-01-05
312,32,click,489.26,Pune,2026-01-16
313,19,click,276.63,Pune,2026-01-17
314,23,purchase,430.25,Pune,2026-01-02
315,30,purchase,490.87,Mumbai,2026-01-06
316,5,purchase,470.93,Mumbai,2026-01-01
317,16,click,235.42,Delhi,2026-01-26
318,39,purchase,208.13,Pune,2026-01-05
319,19,click,12.05,Delhi,2026-01-21
320,39,click,292.65,Bangalore,2026-01-05
321,26,purchase,260.77,Mumbai,2026-01-22
322,32,click,417.45,Mumbai,2026-01-11
323,23,click,28.15,Bangalore,2026-01-16
324,29,click,144.77,Bangalore,2026-01-25
325,19,click,441.27,Delhi,2026-01-10
326,40,impression,493.9,Mumbai,2026-01-18
327,37,impression,183.2,Pune,2026-01-25
328,27,purchase,408.93,Pune,2026-01-28
329,25,purchase,252.37,Pune,2026-01-26
330,8,purchase,411.65,Bangalore,2026-01-24
331,5,click,59.97,Pune,2026-01-21
332,28,impression,68.62,Pune,2026-01-20
333,5,purchase,276.74,Mumbai,2026-01-27
334,18,impression,11.24,Delhi,2026-01-14
335,7,click,295.57,Delhi,2026-01-06
336,3,click,279.41,Bangalore,2026-01-28
337,33,click,234.71,Mumbai,2026-01-01
338,27,impression,46.38,Bangalore,2026-01-05
339,1,lead,288.14,Mumbai,2026-01-06
340,40,click,455.9,Delhi,2026-01-24
341,39,lead,131.36,Mumbai,2026-01-09
342,14,lead,84.35,Pune,2026-01-09
343,3,lead,366.98,Pune,2026-01-19
344,40,click,120.95,Pune,2026-01-07
345,10,purchase,136.5,Delhi,2026-01-01
346,12,click,311.25,Delhi,2026-01-04
347,25,lead,123.55,Bangalore,2026-01-28
348,11,click,332.51,Mumbai,2026-01-12
349,8,purchase,67.94,Delhi,2026-01-17
350,39,impression,339.08,Mumbai,2026-01-10
351,8,purchase,156.11,Pune,2026-01-10
352,2,purchase,259.18,Bangalore,2026-01-16
353,12,impression,346.97,Delhi,2026-01-27
354,13,impression,96.7,Pune,2026-01-06
355,34,click,292.58,Bangalore,2026-01-16
356,40,click,147.81,Bangalore,2026-01-17
357,34,click,138.1,Pune,2026-01-19
358,20,lead,274.43,Mumbai,2026-01-10
359,20,lead,381.42,Bangalore,2026-01-24
360,36,click,178.04,Mumbai,2026-01-17
361,32,lead,310.64,Bangalore,2026-01-15
362,6,impression,8.68,Mumbai,2026-01-26
363,28,purchase,301.97,Delhi,2026-01-22
364,36,lead,45.28,Pune,2026-01-14
365,31,purchase,372.14,Bangalore,2026-01-17
366,40,lead,149.05,Pune,2026-01-05
367,12,click,85.05,Mumbai,2026-01-10
368,6,purchase,2.98,Mumbai,2026-01-15
369,5,purchase,485.91,Delhi,2026-01-12
370,29,lead,434.88,Pune,2026-01-20
371,35,purchase,408.79,Pune,2026-01-26
372,37,purchase,161.69,Delhi,2026-01-11
373,36,impression,459.7,Mumbai,2026-01-16
374,23,lead,246.88,Bangalore,2026-01-08
375,14,purchase,115.41,Delhi,2026-01-20
376,18,purchase,310.01,Bangalore,2026-01-21
377,12,click,309.67,Delhi,2026-01-12
378,17,purchase,356.39,Bangalore,2026-01-16
379,17,lead,191.35,Bangalore,2026-01-13
380,26,purchase,288.79,Bangalore,2026-01-18
381,15,click,371.41,Pune,2026-01-12
382,8,impression,263.21,Delhi,2026-01-01
383,12,purchase,52.65,Bangalore,2026-01-01
384,11,lead,6.36,Pune,2026-01-13
385,21,purchase,245.49,Mumbai,2026-01-19
386,7,impression,336.63,Mumbai,2026-01-16
387,24,lead,239.83,Pune,2026-01-14
388,28,purchase,112.11,Mumbai,2026-01-16
389,32,lead,116.14,Pune,2026-01-03
390,40,click,27.47,Delhi,2026-01-17
391,26,impression,113.67,Delhi,2026-01-25
392,3,lead,120.61,Bangalore,2026-01-15
393,13,click,125.62,Pune,2026-01-28
394,3,impression,42.09,Pune,2026-01-07
395,17,purchase,163.91,Bangalore,2026-01-22
396,36,click,222.52,Mumbai,2026-01-23
397,28,click,9.47,Pune,2026-01-28
398,9,impression,253.75,Mumbai,2026-01-20
399,36,lead,141.98,Delhi,2026-01-14
400,29,lead,384.29,Bangalore,2026-01-13
401,17,impression,202.56,Delhi,2026-01-23
402,27,lead,34.23,Delhi,2026-01-28
403,26,click,386.38,Pune,2026-01-26
404,31,lead,255.94,Mumbai,2026-01-15
405,38,lead,440.6,Pune,2026-01-08
406,21,purchase,357.28,Bangalore,2026-01-17
407,24,impression,245.97,Delhi,2026-01-25
408,20,purchase,474.03,Bangalore,2026-01-03
409,23,click,286.6,Pune,2026-01-13
410,15,click,374.88,Mumbai,2026-01-18
411,20,lead,364.02,Bangalore,2026-01-22
412,11,impression,274.13,Bangalore,2026-01-03
413,29,click,9.85,Mumbai,2026-01-15
414,33,impression,400.2,Mumbai,2026-01-17
415,34,click,111.82,Mumbai,2026-01-10
416,34,purchase,230.14,Bangalore,2026-01-14
417,30,lead,440.19,Pune,2026-01-27
418,36,click,292.83,Pune,2026-01-22
419,19,click,318.29,Mumbai,2026-01-18
420,28,lead,214.64,Mumbai,2026-01-06
421,20,impression,442.87,Delhi,2026-01-15
422,21,purchase,33.31,Pune,2026-01-25
423,36,purchase,224.33,Bangalore,2026-01-17
424,19,lead,104.13,Delhi,2026-01-14
425,15,purchase,182.08,Pune,2026-01-26
426,18,purchase,269.34,Mumbai,2026-01-03
427,5,lead,397.58,Mumbai,2026-01-03
428,20,lead,469.42,Mumbai,2026-01-17
429,7,purchase,112.58,Delhi,2026-01-27
430,19,click,226.05,Pune,2026-01-19
431,39,purchase,239.76,Bangalore,2026-01-24
432,5,click,260.85,Pune,2026-01-20
433,24,purchase,23.27,Delhi,2026-01-15
434,15,click,434.5,Mumbai,2026-01-28
435,39,lead,127.77,Bangalore,2026-01-08
436,30,impression,175.98,Bangalore,2026-01-05
437,17,click,59.23,Pune,2026-01-21
438,34,purchase,368.77,Bangalore,2026-01-27
439,9,lead,329.22,Delhi,2026-01-22
440,23,click,97.73,Bangalore,2026-01-22
441,26,click,44.54,Pune,2026-01-05
442,20,purchase,184.25,Mumbai,2026-01-11
443,20,lead,121.48,Mumbai,2026-01-13
444,6,lead,397.85,Delhi,2026-01-09
445,12,purchase,461.63,Mumbai,2026-01-04
446,32,lead,456.79,Bangalore,2026-01-14
447,11,purchase,34.55,Delhi,2026-01-19
448,21,purchase,311.09,Pune,2026-01-25
449,32,impression,397.49,Pune,2026-01-16
450,4,impression,73.84,Delhi,2026-01-08
451,40,click,206.71,Bangalore,2026-01-08
452,18,lead,426.24,Delhi,2026-01-12
453,21,click,30.47,Pune,2026-01-27
454,22,purchase,411.2,Pune,2026-01-20
455,4,click,188.3,Mumbai,2026-01-06
456,27,lead,347.72,Delhi,2026-01-01
457,34,click,336.66,Bangalore,2026-01-03
458,35,click,338.07,Mumbai,2026-01-10
459,28,lead,187.07,Pune,2026-01-23
460,3,purchase,96.03,Pune,2026-01-21
461,28,click,355.71,Bangalore,2026-01-28
462,17,purchase,272.19,Delhi,2026-01-20
463,10,purchase,52.09,Bangalore,2026-01-15
464,35,impression,3.85,Pune,2026-01-26
465,25,purchase,161.31,Mumbai,2026-01-26
466,21,lead,169.26,Bangalore,2026-01-01
467,24,impression,350.77,Bangalore,2026-01-26
468,20,impression,269.71,Pune,2026-01-19
469,28,purchase,48.63,Delhi,2026-01-15
470,14,purchase,244.74,Mumbai,2026-01-17
471,4,click,370.54,Mumbai,2026-01-16
472,40,lead,366.99,Bangalore,2026-01-13
473,26,purchase,12.75,Bangalore,2026-01-06
474,18,click,430.56,Bangalore,2026-01-03
475,3,purchase,143.85,Pune,2026-01-14
476,12,lead,98.65,Bangalore,2026-01-17
477,3,purchase,325.57,Mumbai,2026-01-16
478,7,click,431.72,Mumbai,2026-01-15
479,14,click,228.73,Bangalore,2026-01-06
480,11,lead,20.57,Pune,2026-01-22
481,14,lead,365.18,Bangalore,2026-01-15
482,10,impression,324.54,Bangalore,2026-01-24
483,20,impression,141.69,Pune,2026-01-24
484,39,impression,58.5,Delhi,2026-01-06
485,3,click,318.31,Pune,2026-01-12
486,37,impression,314.69,Bangalore,2026-01-14
487,8,click,128.96,Bangalore,2026-01-23
488,14,purchase,375.39,Pune,2026-01-27
489,12,lead,489.25,Pune,2026-01-24
490,11,purchase,366.99,Bangalore,2026-01-09
491,11,impression,228.59,Pune,2026-01-09
492,8,impression,287.53,Bangalore,2026-01-17
493,30,impression,230.91,Bangalore,2026-01-06
494,22,purchase,470.47,Delhi,2026-01-15
495,32,lead,385.84,Delhi,2026-01-20
496,30,click,84.26,Bangalore,2026-01-07
497,18,lead,457.71,Delhi,2026-01-18
498,6,lead,473.57,Mumbai,2026-01-26
499,5,lead,478.42,Pune,2026-01-10
500,31,click,315.31,Delhi,2026-01-15
501,28,impression,106.96,Pune,2026-01-16
502,36,purchase,261.44,Delhi,2026-01-05
503,15,click,285.31,Delhi,2026-01-12
504,31,lead,96.36,Bangalore,2026-01-09
505,24,click,469.78,Bangalore,2026-01-26
506,34,lead,396.24,Delhi,2026-01-01
507,18,lead,313.23,Mumbai,2026-01-06
508,7,purchase,380.51,Bangalore,2026-01-11
509,24,lead,495.2,Mumbai,2026-01-04
510,25,lead,149.04,Pune,2026-01-14
511,20,purchase,279.13,Mumbai,2026-01-15
512,6,lead,236.66,Delhi,2026-01-01
513,22,impression,338.93,Pune,2026-01-21
514,6,impression,232.61,Mumbai,2026-01-21
515,34,lead,45.65,Pune,2026-01-17
516,5,click,317.11,Mumbai,2026-01-20
517,10,impression,196.26,Bangalore,2026-01-10
518,40,impression,200.01,Pune,2026-01-04
519,5,impression,236.84,Bangalore,2026-01-08
520,16,click,199.61,Delhi,2026-01-26
521,9,lead,6.17,Bangalore,2026-01-27
522,5,impression,211.69,Delhi,2026-01-02
523,38,purchase,98.5,Bangalore,2026-01-05
524,1,lead,34.89,Mumbai,2026-01-13
525,33,click,247.08,Delhi,2026-01-13
526,4,purchase,420.7,Bangalore,2026-01-05
527,12,purchase,145.46,Pune,2026-01-04
528,28,click,348.22,Pune,2026-01-21
529,30,click,480.77,Mumbai,2026-01-16
530,12,lead,320.0,Mumbai,2026-01-19
531,15,impression,302.07,Mumbai,2026-01-20
532,2,click,434.24,Mumbai,2026-01-26
533,20,lead,276.54,Mumbai,2026-01-13
534,16,purchase,42.3,Pune,2026-01-10
535,38,purchase,43.16,Mumbai,2026-01-09
536,10,purchase,482.98,Pune,2026-01-14
537,25,purchase,180.52,Delhi,2026-01-25
538,5,click,240.14,Pune,2026-01-15
539,40,purchase,159.46,Bangalore,2026-01-07
540,32,purchase,176.69,Delhi,2026-01-25
541,8,lead,70.64,Mumbai,2026-01-12
542,12,purchase,213.65,Delhi,2026-01-23
543,2,lead,238.92,Pune,2026-01-20
544,34,impression,362.89,Bangalore,2026-01-24
545,1,purchase,459.37,Bangalore,2026-01-18
546,24,lead,118.64,Pune,2026-01-17
547,37,lead,110.71,Delhi,2026-01-21
548,32,impression,159.77,Mumbai,2026-01-20
549,26,purchase,339.99,Bangalore,2026-01-12
550,8,purchase,486.76,Pune,2026-01-18
551,40,purchase,306.71,Mumbai,2026-01-17
552,33,lead,494.67,Bangalore,2026-01-09
553,31,impression,493.6,Pune,2026-01-08
554,25,click,297.06,Mumbai,2026-01-24
555,15,impression,33.22,Pune,2026-01-10
556,9,impression,376.53,Delhi,2026-01-17
557,20,lead,452.7,Mumbai,2026-01-17
558,7,lead,369.78,Delhi,2026-01-10
559,7,click,142.91,Delhi,2026-01-12
560,10,impression,43.34,Bangalore,2026-01-27
561,14,impression,433.25,Pune,2026-01-09
562,24,impression,267.32,Pune,2026-01-01
563,35,lead,74.04,Pune,2026-01-17
564,6,click,272.55,Bangalore,2026-01-02
565,16,lead,329.89,Pune,2026-01-20
566,13,impression,292.83,Pune,2026-01-03
567,4,lead,91.11,Delhi,2026-01-19
568,11,impression,4.28,Pune,2026-01-27
569,39,click,257.3,Delhi,2026-01-07
570,39,click,477.83,Mumbai,2026-01-08
571,29,click,42.68,Mumbai,2026-01-01
572,23,impression,209.71,Mumbai,2026-01-04
573,18,click,260.07,Pune,2026-01-04
574,8,purchase,64.29,Pune,2026-01-02
575,19,purchase,262.62,Bangalore,2026-01-21
576,26,lead,379.77,Mumbai,2026-01-08
577,24,impression,105.93,Mumbai,2026-01-12
578,27,purchase,418.21,Bangalore,2026-01-20
579,15,purchase,107.92,Delhi,2026-01-27
580,27,purchase,362.21,Pune,2026-01-24
581,30,click,126.43,Delhi,2026-01-01
582,22,impression,99.05,Bangalore,2026-01-02
583,14,click,427.69,Mumbai,2026-01-25
584,10,impression,66.43,Mumbai,2026-01-01
585,21,purchase,416.99,Pune,2026-01-01
586,4,impression,467.89,Mumbai,2026-01-14
587,21,impression,160.75,Mumbai,2026-01-01
588,37,click,205.61,Pune,2026-01-06
589,39,lead,56.28,Bangalore,2026-01-11
590,15,click,47.88,Mumbai,2026-01-23
591,21,lead,33.57,Mumbai,2026-01-17
592,4,purchase,272.3,Bangalore,2026-01-09
593,12,click,19.64,Pune,2026-01-20
594,6,impression,446.0,Delhi,2026-01-22
595,2,lead,157.51,Bangalore,2026-01-16
596,6,impression,197.21,Mumbai,2026-01-06
597,23,lead,365.61,Bangalore,2026-01-21
598,1,purchase,408.83,Bangalore,2026-01-05
599,4,lead,382.55,Delhi,2026-01-04
600,27,purchase,480.62,Mumbai,2026-01-17
