event_id,principal,action,asset_id,event_ts
88,analyst_team,MODIFY,17,2026-02-15 12:32:00
89,analyst_team,MODIFY,25,2026-02-01 03:16:00
90,finance_team,CREATE,22,2026-02-18 17:32:00
91,de_team,GRANT,37,2026-02-28 03:40:00
92,de_team,SELECT,36,2026-02-20 21:48:00
93,analyst_team,DROP,11,2026-02-13 15:10:00
94,de_team,GRANT,40,2026-02-20 01:27:00
95,de_team,DROP,19,2026-02-17 12:38:00
96,finance_team,CREATE,34,2026-02-10 15:41:00
97,finance_team,GRANT,19,2026-02-22 22:47:00
98,finance_team,SELECT,1,2026-02-25 07:37:00
99,analyst_team,MODIFY,27,2026-02-25 21:24:00
100,analyst_team,CREATE,26,2026-02-02 18:46:00
101,finance_team,SELECT,15,2026-02-14 23:30:00
102,finance_team,MODIFY,3,2026-02-17 03:59:00
103,de_team,MODIFY,16,2026-02-20 22:07:00
104,analyst_team,GRANT,27,2026-02-15 03:13:00
105,analyst_team,CREATE,34,2026-02-05 03:23:00
106,de_team,MODIFY,27,2026-02-15 19:16:00
107,de_team,CREATE,34,2026-02-27 04:18:00
108,ml_team,MODIFY,31,2026-02-04 16:57:00
109,finance_team,GRANT,40,2026-02-28 11:17:00
110,finance_team,GRANT,37,2026-02-23 18:12:00
111,finance_team,MODIFY,13,2026-02-08 16:41:00
112,ml_team,SELECT,4,2026-02-01 08:16:00
113,de_team,SELECT,40,2026-02-02 03:14:00
114,finance_team,SELECT,6,2026-02-22 05:35:00
115,ml_team,CREATE,31,2026-02-16 11:13:00
116,finance_team,CREATE,32,2026-02-24 04:53:00
117,analyst_team,SELECT,29,2026-02-26 19:53:00
118,ml_team,DROP,28,2026-02-24 08:24:00
119,ml_team,CREATE,10,2026-02-21 19:20:00
120,finance_team,GRANT,12,2026-02-14 20:23:00
121,analyst_team,DROP,21,2026-02-03 17:05:00
122,de_team,GRANT,37,2026-02-16 21:29:00
123,finance_team,SELECT,5,2026-02-10 06:58:00
124,analyst_team,CREATE,32,2026-02-24 22:20:00
125,finance_team,MODIFY,15,2026-02-12 21:46:00
126,finance_team,CREATE,8,2026-02-11 22:28:00
127,finance_team,DROP,34,2026-02-26 09:29:00
128,finance_team,MODIFY,26,2026-02-24 16:15:00
129,analyst_team,CREATE,24,2026-02-01 11:43:00
130,de_team,GRANT,25,2026-02-26 06:47:00
131,finance_team,DROP,35,2026-02-05 18:36:00
132,ml_team,MODIFY,6,2026-02-25 14:56:00
133,finance_team,SELECT,15,2026-02-17 01:34:00
134,ml_team,GRANT,19,2026-02-01 20:53:00
135,de_team,SELECT,38,2026-02-18 09:50:00
136,analyst_team,CREATE,6,2026-02-09 23:06:00
137,finance_team,SELECT,2,2026-02-21 20:09:00
138,analyst_team,DROP,16,2026-02-23 07:31:00
139,finance_team,DROP,26,2026-02-12 10:51:00
140,finance_team,MODIFY,32,2026-02-16 17:51:00
141,analyst_team,GRANT,3,2026-02-14 21:22:00
142,analyst_team,DROP,6,2026-02-15 17:40:00
143,analyst_team,GRANT,24,2026-02-23 00:51:00
144,analyst_team,DROP,27,2026-02-05 07:47:00
145,ml_team,DROP,11,2026-02-11 06:24:00
146,de_team,GRANT,19,2026-02-09 01:30:00
147,finance_team,SELECT,20,2026-02-21 04:49:00
148,ml_team,SELECT,30,2026-02-01 18:30:00
149,analyst_team,CREATE,7,2026-02-07 05:22:00
150,ml_team,GRANT,16,2026-02-20 22:30:00
