customer_id,full_name,city,state,signup_date
77,Customer_77,Delhi,MH,2025-10-27
78,Customer_78,Delhi,MH,2025-10-02
79,Customer_79,Nagpur,TS,2025-07-04
80,Customer_80,Pune,KA,2025-05-30
81,Customer_81,Bangalore,DL,2025-05-02
82,Customer_82,Hyderabad,DL,2025-01-19
83,Customer_83,Delhi,KA,2025-12-26
84,Customer_84,Mumbai,MH,2025-09-05
85,Customer_85,Mumbai,KA,2025-01-06
86,Customer_86,Bangalore,TS,2025-05-14
87,Customer_87,Delhi,MH,2025-11-23
88,Customer_88,Bangalore,TS,2025-06-07
89,Customer_89,Bangalore,KA,2025-09-04
90,Customer_90,Hyderabad,KA,2025-03-10
91,Customer_91,Bangalore,DL,2025-08-27
92,Customer_92,Delhi,DL,2025-04-13
93,Customer_93,Delhi,DL,2025-07-25
94,Customer_94,Pune,DL,2026-02-01
95,Customer_95,Bangalore,TS,2025-11-07
96,Customer_96,Delhi,DL,2025-03-30
97,Customer_97,Pune,TS,2025-04-02
98,Customer_98,Nagpur,KA,2025-01-17
99,Customer_99,Nagpur,MH,2026-01-16
100,Customer_100,Delhi,MH,2025-05-14
101,Customer_101,Hyderabad,DL,2025-04-15
102,Customer_102,Nagpur,DL,2025-04-04
103,Customer_103,Delhi,KA,2025-03-15
104,Customer_104,Hyderabad,DL,2025-07-03
105,Customer_105,Bangalore,DL,2025-10-23
106,Customer_106,Bangalore,TS,2025-07-26
107,Customer_107,Hyderabad,TS,2025-07-10
108,Customer_108,Pune,KA,2026-01-22
109,Customer_109,Hyderabad,MH,2025-02-07
110,Customer_110,Hyderabad,DL,2025-12-09
111,Customer_111,Bangalore,KA,2025-08-30
112,Customer_112,Delhi,KA,2025-10-30
113,Customer_113,Mumbai,KA,2025-09-23
114,Customer_114,Nagpur,MH,2025-06-13
115,Customer_115,Hyderabad,KA,2025-01-16
116,Customer_116,Bangalore,TS,2025-06-10
117,Customer_117,Bangalore,MH,2025-12-22
118,Customer_118,Mumbai,MH,2025-07-18
119,Customer_119,Mumbai,TS,2026-01-20
120,Customer_120,Hyderabad,DL,2025-08-01
